,question,answer,question_index,answer_index,document_index
0,Is the reception staff available only during the day?,"The reception is available 24/7. The reception staff will
be available to accept any request and/or complaint
made by the Facility's Guests.",O,0,11
1,What type of ID document is required for guests to present at the Facility?,"
Guests and any accompanying persons and/or visitors
must, when they arrive at the Facility, present an ID
document to facilitate their identification pursuant to
Article 109 of the Consolidated Public Safety Law
(TULPS) and for any other formality (administrative or
otherwise) required for law enforcement purposes.",O,1,11
2,What type of people are required to notify the Facility's reception staff in advance?,"
Subject to the foregoing, the Facility's reception staff
should be notified in advance of visits by persons who
have not signed any Contract, and such visits must be
approved in advance by them. In such cases, 21WOL
Operations reserves the right to charge the Contracting
Party any further costs for the use of services by any
visitors and/or companions, which are reserved for
the Facility’s Guests.",O,2,11
3,What is the penalty for allowing unauthorised visitors in the Facility?,"
The presence of unauthorised visitors pursuant to
Article 3.2 above will require the Contracting party to
pay a penalty of Euro 100 (one hundred), without
prejudice to 21WOL Operations's entitlement to report
the presence of unauthorised persons inside the
Facility to the competent authorities.",O,3,11
4,What are the main reasons for a guest to comply with the rules of conduct?,"
So as not to disturb other Guests and to avoid
complaints from the latter and/or from third parties,
Guests shall comply with the rules of conduct of the
Internal Regulations.",O,4,11
5,What are the specific times during which noise is strictly forbidden?,"
It is strictly forbidden inside the rooms, in the common
areas or in places adjacent to the Facility, to act or
behave in a way that could disturb the peaceful
enjoyment of other Guests and/or disturb the public
peace (i.e. loud music, parties, shouting, etc.) between
11.00 pm and 8.00 am.",O,5,11
6,What is the purpose of the rules for guests at the facility? ,"
Subject to the above, Guests are in any case obliged for
the entire duration of their stay to conduct themselves
in a way that facilitates the peaceable and quiet
enjoyment of other Guests and of the neighbourhood.
Guests are obliged not to leave rubbish or to leave
property and/or personal belongings unattended
inside the common areas or in places adjacent to the
Facility. Save as envisaged below in the General Terms
and Conditions, 21WOL Operations reserves the right
to charge the Contracting Party and/or Guests for the
costs, if any, of cleaning or removing any property
and/or personal belongings left unattended.",O,6,11
7,"
What will happen if a guest leaves their belongings unattended at the facility?","
Subject to the above, Guests are in any case obliged for
the entire duration of their stay to conduct themselves
in a way that facilitates the peaceable and quiet
enjoyment of other Guests and of the neighbourhood.
Guests are obliged not to leave rubbish or to leave
property and/or personal belongings unattended
inside the common areas or in places adjacent to the
Facility. Save as envisaged below in the General Terms
and Conditions, 21WOL Operations reserves the right
to charge the Contracting Party and/or Guests for the
costs, if any, of cleaning or removing any property
and/or personal belongings left unattended.",C,6,11
8,What action will 21WOL Operations take if the Guest ignores the second formal invitation to desist?,"
If complaints are made to 21WOL Operations staff by
other Guests or third parties following the
infringement of the provisions of this Article, 21WOL
Operations reserves the right, at its sole discretion, to
take one of the following steps in relation to the
infringing Guest:
21WOL Operations may send the Guest and/or
the Contracting Party an initial formal invitation
to desist;
if the first formal invitation is ignored, 21WOL
Operations may send the Guest and/or the
Contracting Party a second formal invitation to
desist;
if the second formal invitation is also ignored,
21WOL Operations reserves the right to
terminate the Contract pursuant to Article 1456 of
the Italian Civil Code;
21WOL Operations reserves the right to
terminate the Contract in any case, pursuant to
Article 1456 of the Italian Civil Code, if in view of
the Guest's conduct it considers (at its sole
discretion) that the contractual relationship
cannot continue.",O,7,11
9,What are the provisions of Article 12 of the General Terms and Conditions?,"
The provisions of Article 12 of the General Terms and
Conditions shall in any case be applicable (“Contract
Termination by 21WOL Operations”).",O,8,11
10,What are the consequences of obstructing regular transit in the Facility? ,"
There is an absolute prohibition inside the Facility
against obstructing regular transit, stopping or
depositing goods and/or personal belongings near/in
stairways and/or corridors of the Facility, or at
emergency exits. Escape routes, corridors and
emergency exits shall be kept clear at all times. It is also
strictly forbidden to use the emergency exits if there is
no emergency.",O,9,11
