,question,answer,question_index,answer_index,document_index
0,What is the consequence for a customer if they do not cancel their order in a timely manner?,"Orders for accommodation services made in writing or by other means, which have been
confirmed by the hotel and have not been cancelled by the customer in a timely manner, are
mutually binding. The front office manager keeps a record of all received and confirmed
orders.",O,0,6
1,What type of document is required for guest registration at the hotel? ,"
The hotel may provide accommodation only for guests who register in the regular
manner. For this purpose, the guest must present a personal document (citizen's
identification card), or a valid passport to the receptionist. Accepting these Rules of the
House is also obligatory for the registration.",O,1,6
2," 
What is the consequence of not accepting the hotel's Rules of the House?","
The hotel may provide accommodation only for guests who register in the regular
manner. For this purpose, the guest must present a personal document (citizen's
identification card), or a valid passport to the receptionist. Accepting these Rules of the
House is also obligatory for the registration.",C,1,6
3,Is the hotel allowed to refuse accommodation to someone who is visibly under the influence of alcohol?,"
Accommodation in the hotel is permitted only to persons who are not carrying infectious
diseases and who are not visibly under the influence of alcohol or drugs.",O,2,6
4,"What does ""fundamentally different"" mean in the context of the hotel's accommodation offer?","
In special cases the hotel may offer guests other accommodation than has been agreed
upon if this does not fundamentally different from the already confirmed order.",O,3,6
5,What is the earliest time a guest can check-in to the accommodation?,"
Check-in is possible from 14:00 on the day of arrival. On the day of travel, the room must
be vacated by 11:00 at the latest.",O,4,6
6,Is early check-in and late check-out subject to availability and may incur additional costs?," If our guests require early check-in or late check-out, they
must contact our hotel reception in advance. Our colleagues may provide this service upon
availability and with possible extra costs.",O,5,6
7,Is the hotel obligated to provide the same room for the extended stay?,"
In the case that a hotel guest requests an extension of the residence in the hotel,
reception may offer this guest a room other than that in which the guest was originally
staying.",O,6,6
8,"What is the maximum duration of a visit to a hotel guest's room? 
","
Hotel guests may receive visits in their hotel rooms from guests not staying in the hotel.
Visitors must present a personal document at the hotel reception and register in the visitors'
book. These visits can last for only a maximum of 2 hours and must finish until 10:00 pm.",O,7,6
9, What type of document must a visitor present at the hotel reception?,"
Hotel guests may receive visits in their hotel rooms from guests not staying in the hotel.
Visitors must present a personal document at the hotel reception and register in the visitors'
book. These visits can last for only a maximum of 2 hours and must finish until 10:00 pm.",C,7,6
10,Is a party allowed in a room at Hotel Charles?,"
Hotel Charles enforces a ’No In-Room Party’ Policy to ensure we can protect the hotel and
our guests at all times. No parties, loud disturbances and/or noise-nuisance are allowed or
tolerated on these premises. ",O,8,6
11,What is the consequence if a guest fails to follow the hotel's request to reduce noise during a disturbance?," In the event of a disturbance, one polite request (warning) will
be given to reduce the noise. If our request is not followed, the guest will be asked to leave
the hotel without refund and may be charged Guest Compensation Disturbance Fee.",O,9,6
12,What is the reason for the low noise level restriction during certain hours?,"
Between the hours of 10:00 pm and 06:00 am guests are obliged to maintain low noise
levels.",O,10,6
