,question,answer,question_index,answer_index,document_index
0,What is the purpose of the internal procedure presented by the hotel?,"The Hotel presents this INTERNAL PROCEDURE, which contains the policies, rules
and regulations that will govern the relationship between the Hotel and its clients.",O,0,9
1,"Who are the people covered by these regulations? 
What types of events are being referred to in the text? 
Who are the people responsible for the organisation and running of events at the hotel?","
These Regulations shall also be applicable and binding for:
  Visitors and/or occasional companions of hotel guests.
  Users of services and facilities open to the general public.
  Any person who, even occasionally, visits or wanders inside the hotel
  Attendees of events taking place at the hotel.
  Contracting parties, organisers and staff involved in the organisation and running
of events held at the hotel.",O,1,9
2,What types of spaces are included in the Regulations according to the text?,"
The Regulations will apply to all spaces and areas of the establishment, be they
for exclusive or common use, without distinction.",O,2,9
3,Where can clients access the hotel's regulations?,"
These Regulations are available to clients at the hotel reception and they may
consult them whenever they wish. Additionally, these Regulations are available on the
hotel’s website.",O,3,9
4,What are the consequences of being unaware of the Regulations mentioned in the text?,"
Ignorance of these Regulations is no defence for non-compliance, as these
Regulations are based on current laws and legislation.",O,4,9
5,What is the condition for these regulations to be changed or updated?,"
These Regulations will be in continuous and uninterrupted effect until they are
amended or replaced by another. In case of any doubt, it shall be deemed fully
satisfactory in all its rules and regulations.",O,5,9
6,What does the text imply about the scope of its rules and prohibitions?,"
The rules and prohibitions contained in this Regulations and which should be
complied with by its intended recipients, should not be understood as exclusive of other
analogous or similar behaviours not set forth in it, but that clearly emerge from the spirit
and intent of these Regulations.",O,6,9
7,"What is the purpose of punishing offenders according to labour, civil or criminal legislation?","
Infringements of these Regulations, to the extent possible, will be corrected
immediately and, if appropriate, may be punished in accordance with labour, civil or
criminal legislation, irrespective of other responsibilities that the offender may incur and
the appropriate legal action to which they are entitled.",O,7,9
8,What is the reason for the hotel to cancel a reservation without refund?,"
The Hotel reserves the right of admission and to cancel the reservation, without
right to refund, of any client who contravenes these Regulations, as well as the rules of
living and common sense, or acts in any way disrespectfully to the Hotel facilities or other
people within it, be they staff or guests of the Hotel.",O,8,9
9,What are the reasons behind the regulations in the text?,"
We appreciate your choice to stay with us, as well as your strict observance of our
Regulations, prepared for your own benefit.",O,9,9
10,Who is the main contact for guests of the hotel establishment?,"
In any case, should you require additional information please do not hesitate to
contact Reception. To this end, we remind you that the Hotel Manager, together with
the reception staff and, where appropriate, the concierge, are the main contact or
central relationship for guests of the hotel establishment, and for information and advice
of the same.",O,10,9
11,What type of law governs the Internal Regimen Regulation?,"
The Internal Regimen Regulation is governed by Spanish law.",O,11,9
12,What is the primary language version of the Regulation that holds legal authority?,"
This Regulation is available in different languages, but only the text in Spanish is
the sole legally binding text, and the one that will prevail if there is any difference of
interpretation or any other nature.",O,12,9
13,What is the purpose of the magnetic cards in the reception area?,"
Reception is where the necessary steps are taken for registration and admission,
and where the magnetic cards are kept to access accommodation.",O,13,9
14,What is the latest time for check-in?,"
Check-in takes place from 14:00 and until 20:00 on the day of the client's arrival,
and Check-out until 12.00 pm on the day of departure.",O,14,9
15,What is the earliest time a guest can enter the hotel if they arrive before check-in time?,"
If the guest arrives before Check-in time and the Hotel has rooms available, they
can enter as early as 7:00.",O,15,9
16,What are the consequences of not notifying the hotel 24 hours prior to a guest's late arrival?,"
In the event that, for personal reasons, the guest has to register their arrival after
20:00, they should notify the hotel 24 hours prior to their arrival.",O,16,9
17,Is this policy intended to protect the minors or the hotel's liability?,"
The Hotel will abstain from providing accommodation to minors who arrive alone,
nor do we accept bookings of rooms or stays by minors.",O,17,9
18,What is the minimum age for a minor to stay at the hotel without an adult?,"
However, minors between the ages of 16 to 18 years old may be authorised in
writing by the father, mother or guardian to stay at the Hotel as long as they are the ones
to take responsibility of the minor and assume the payment of the bill as appropriate. In
the case of minors under the age of 16 years, they must also always be accompanied
by the father, mother or guardian.",O,18,9
19,What type of identification documents are required for registration?,"
The person or persons who wish to make use of the accommodation units,
common facilities and, where appropriate, complementary services offered by the
Hotel, must present their identification documents on registration and sign in to the Hotel
Register of the establishment.",O,19,9
20,What type of identification documents are typically required for group members?,"
When guests arrive as a pre-booked group (group bookings are considered
reservations of 10 or more rooms), their representative will hand over the lists together
with the identification documents of the group members.",O,20,9
21,What types of identification are accepted for foreigners from EU countries and the specified countries?,"
Valid identification in Spain are passports, DNI and Driver's License. If you are a
foreigner you can register by presenting a Passport or Identity Card if you come from an
EU country or any of the following countries:",O,21,9
22,Which of the listed countries is not an independent country but a principality?,"
  Andorra, Iceland, Switzerland, Norway, Malta, Monaco or San Marino.
You can also register with a current Spanish Residency Permit if you are a foreign
resident in Spain.",O,22,9
23,What is the purpose of the registration and entry records for Travellers in a Hotel Establishment?,"
This rule is mandatory in accordance with the Order of the Ministry of the Interior
of the Government of Spain 1922/2.003 of 3 July, which requires registration and entry
records for Travellers in a Hotel Establishment, Royal Decree 933/2021 of October 26 and
under the provisions of article 12.1 of Organic Law 1/1992, of February 21, on the
Protection of Citizen Security.",O,23,9
24,What is the purpose of the individual registration sheet mentioned in the text?,"
In compliance with the above, all guests, both individuals and guests, must have
an individual registration sheet.",O,24,9
25,What is the minimum age requirement for a person to sign the registration sheet?,"
The registration sheet must be personally signed by all travellers over the age of
14 years.",O,25,9
26,What are the consequences for a guest who fails to comply with the hotel's registration requirement?,"
The accommodation is non-transferable, meaning that the Hotel will deny
accommodation to any guest who does not comply with this registration requirement
and has the power to demand, if it deems it appropriate, the identification of the
applicant and the people accompanying them in the hotel. Any person not registered
in the police register are also prohibited from entering the Hotel, unless with the direct
permission of the Management.",O,26,9
27,Who is responsible for ensuring the registration card is filled out in full?,"
The Hotel Management is not responsible for any false or incomplete information
that the guest may provide when filling out the registration card, whose details should be
filled out by the user in full, or by the Hotel based on the details that appear on the
identification documents provided to such effects by the client.",O,27,9
28,What is the purpose of the hotel communicating the identification data to the authorities?,"
In compliance with current legislations, the identification data supplied shall be
communicated to the authorities by the Hotel.",O,28,9
29,What information is included on the admission document?,"
This establishment, once a person or persons have been registered, will prepare
an admission document stating the name of the client in order to formalise the admission
(featuring a person, the commercial name of the establishment, the tourist classification,
the identification of the allocated accommodation, price per day, the category and
price of complementary services provided, and dates of check-in and check-out).",O,29,9
30,What type of document is typically required as proof of a user's condition?,"
Users must provide proof of their condition, producing the admission document,
when required.",O,30,9
31,What is the purpose of signing the admission sheet?,"
The admission sheet provides proof of the tourist accommodation contract and
will serve as proof for administrative purposes, and therefore must be signed by the
concerned party to formalise their admission.",O,31,9
32,What is the purpose of retaining the original signed document by the establishment?,"
The original signed document shall remain in the possession of the establishment,
who will retain it for the time stipulated by law to be made available for tourist inspection,
providing a copy to the guest who signed the same.",O,32,9
33,What information does the document require the client to confirm as true?,"
By signing the document, the client confirms that all the data provided are true
and accepts the terms and conditions expressed in the document.",O,33,9
34,What are the main rules that the Client is expected to observe in the establishment?,"
Signing the document also assumes that the Client expressly accepts these
Regulations, its rights and obligations, and shall be bound to observe the rules contained
in the same and those dictated by Management on security, coexistence and hygiene
for the proper use of the establishment, its facilities and the equipment of the Hotel.",O,34,9
35,What are the limitations contained in the legislation and Regulations for users to access and stay in the establishment?,"
Users may freely access the establishment and stay in the same, within the
limitations contained in legislation and in these Regulations.",O,35,9
36,What is the purpose of providing information to users before they contract services?,"
Users have the right to receive full and accurate information, and for such
information to be provided prior to the contracting of services offered.",O,36,9
37,What are the main rights of hotel guests according to the text? ,"
In addition, guests have the right to security, privacy and total peace-of-mind
during their stay, in accordance with the agreed terms and conditions. Invoices for any
services contracted directly to the hotel will be issued to in accordance with the current
regulations of the Data Protection Act concerning maintaining the confidentiality of any
personal information. In the event of a guest wishing to make a complaint, forms
provided by the relevant authoritative department(s) from the corresponding
Autonomous Community (region) must be filled out by the guest and handed in at the
hotel reception.",O,37,9
