;question;answer;question_index;answer_reformulate;answer_index;document_index;question_reformulate
0;What is the main priority for Hotel Don Pancho during this difficult situation? ;"In recent months, we have been immersed in an unprecedented and very difficult
situation for everyone. At Hotel Don Pancho, we have always known what most
important is, the people, their well-being and their safety. For this reason, and now more
than ever, we believe that it is necessary to take care of yourself and be able to make
you feel calm because we are taking all possible actions to guarantee the maximum
security within our Hotel and, in turn, be able to continue offering you an unforgettable
and carefree holiday.";0;"["" In this turbulent phase, at Hotel Don Pancho, we're deeply aware that what truly matters are the people "", ' Their welfare and security have always been our top priority ', "" As such, and more so now than ever, it's crucial to prioritize self-care and provide reassurance "", "" We're taking every precaution to ensure maximum safety within our establishment "", ' Meanwhile, we aim to continue offering you a memorable and stress-free getaway ', ' The well-being of our guests has always been paramount at Hotel Don Pancho ', "" Now, more than ever, we're committed to creating a tranquil atmosphere "", "" In light of the current circumstances, we're taking all necessary measures to guarantee your peace of mind "", "" Within our hotel walls, we're working tirelessly to provide an idyllic and carefree experience "", '']";0;15;"["" Is Hotel Don Pancho's primary concern something specific right now "", ' What needs to be addressed by Hotel Don Pancho ', ' What should Hotel Don Pancho prioritize currently ', ' What issue is Hotel Don Pancho trying to tackle ', ' In what area does Hotel Don Pancho need to concentrate its efforts ', ' What problem must Hotel Don Pancho solve first ', ' What difficulty should Hotel Don Pancho overcome ', ' What hurdle does Hotel Don Pancho have to clear ', ' What obstacle needs to be removed by Hotel Don Pancho']"
1;"
What actions is Hotel Don Pancho taking to guarantee maximum security within the hotel?";"In recent months, we have been immersed in an unprecedented and very difficult
situation for everyone. At Hotel Don Pancho, we have always known what most
important is, the people, their well-being and their safety. For this reason, and now more
than ever, we believe that it is necessary to take care of yourself and be able to make
you feel calm because we are taking all possible actions to guarantee the maximum
security within our Hotel and, in turn, be able to continue offering you an unforgettable
and carefree holiday.";1;"["" In this turbulent phase, at Hotel Don Pancho, we're deeply aware that what truly matters are the people "", ' Their welfare and security have always been our top priority ', "" As such, and more so now than ever, it's crucial to prioritize self-care and provide reassurance "", "" We're taking every precaution to ensure maximum safety within our establishment "", ' Meanwhile, we aim to continue offering you a memorable and stress-free getaway ', ' The well-being of our guests has always been paramount at Hotel Don Pancho ', "" Now, more than ever, we're committed to creating a tranquil atmosphere "", "" In light of the current circumstances, we're taking all necessary measures to guarantee your peace of mind "", "" Within our hotel walls, we're working tirelessly to provide an idyllic and carefree experience "", '']";0;15;['\nWhat measures has Hotel Don Pancho taken to provide a secure experience for visitors?\n', '\nWhat protocols does Hotel Don Pancho have in place to prevent any safety breaches?\n', '\nHow is Hotel Don Pancho ensuring the security and well-being of its patrons?\n', '\nWhat security initiatives is Hotel Don Pancho putting into action to safeguard guests?\n', '\nWhat procedures has Hotel Don Pancho established to maintain a secure atmosphere for its clients?\n', '\nWhat steps is Hotel Don Pancho taking to guarantee guest safety and security?\n', '\nHow does Hotel Don Pancho ensure the safety and protection of its hotel guests?\n', '\nWhat safety measures is Hotel Don Pancho undertaking to provide a secure experience for all visitors?']
2;What is the purpose of the strict protocol created by Don Pancho?;"
From the Don Pancho we want to inform you that we are implementing all the actions,
instructions and recommendations of the World Health Organization (WHO), health
authorities and the Government. For this, we have created a very strict protocol that
includes all the actions carried out and in which we have further raised our standards of
safety, health, quality and hygiene.";2;"[""\n\n2. We'd like to advise you that Don Pancho is thoroughly implementing every recommendation,\nmandate, and directive provided by the World Health Organization (WHO), health\ndepartments, and the government. To achieve this, we've established a very strict set of\nprocedures that include all actions taken and have heightened our standards for security,\nhealthcare, quality, and cleanliness.\n\n"", ""\n\n3. At Don Pancho, we're taking all necessary steps to execute every order, edict, and guideline\nissued by the World Health Organization (WHO), public health authorities, and the state.\nIn this regard, we've formulated a rigorous protocol that incorporates all actions taken,\nresulting in our elevated standards for safeguarding, wellness, reliability, and purification.\n\n"", ""\n\n4. From Don Pancho, please be informed that we're carrying out every measure, instruction,\nand suggestion made by the World Health Organization (WHO), health services, and\ngovernment agencies. For this purpose, we've devised a strict set of procedures encompassing\nall actions performed and have increased our standards for protection, well-being, precision,\nand sterility.\n\n"", ""\n\n5. Don Pancho wishes to notify you that we're enforcing every decree, mandate, and directive\nissued by the World Health Organization (WHO), healthcare officials, and the government.\nIn this respect, we've developed a very stringent protocol including all actions taken and\nhave heightened our standards for security, health, quality, and cleanliness.\n\n"", ""\n\n6. From Don Pancho, please be advised that we're undertaking every measure, recommendation,\nand guideline issued by the World Health Organization (WHO), health authorities, and\ngovernment departments. For this purpose, we've formulated a very strict set of procedures\nencompassing all actions performed and have increased our standards for safeguarding, well-being,\nprecision, and purification.\n\n"", ""\n\n7. At Don Pancho, we'd like to inform you that we're putting into effect every order, directive,\nand guideline issued by the World Health Organization (WHO), public health services, and\ngovernment agencies. To this end, we've developed a rigorous protocol that includes all actions\ntaken and have heightened our standards for safety, well-being, reliability, quality, and cleanliness.\n\n"", ""\n\n8. We'd like to advise you that Don Pancho is thoroughly implementing every directive,\nrecommendation, and guideline provided by the World Health Organization (WHO), local health\nservices, and government agencies. For this purpose, we've established a very strict set of\nprocedures encompassing all actions taken and have elevated our standards for safeguarding,\nwell-being, excellence, quality, and sanitation.\n\n"", ""\n\n9. From Don Pancho, please be notified that we're executing every mandate, decree, and guideline\nissued by the World Health Organization (WHO), health services, and government departments.\nTo this end, we've devised a very stringent protocol that includes all actions taken and have\nheightened our standards for security, healthcare, precision, quality, and cleanliness.\n\n"", ""\n\n10. We'd like to inform you that Don Pancho is thoroughly putting into effect every order,\nmandate, and guideline provided by the World Health Organization (WHO), health authorities,\nand government agencies. In this regard, we've formulated a very strict set of procedures\nencompassing all actions performed and have increased our standards for safeguarding, well-being,\nprecision, quality, and sterility.""]";1;15;"[""\nWhat is the reason for Don Pancho's stern rules "", '\nWhat drives the stringent regulations set up by Don Pancho ', '\nWhy did Don Pancho establish a formal procedure ', ""\nWhat's behind the structured protocol created by Don Pancho "", '\nWhy does Don Pancho have such strict operating procedures ', ""\nWhat's the purpose of the precise protocol put in place by Don Pancho "", '\nWhat motivates Don Pancho to create such a detailed plan ', '\nWhy did Don Pancho develop an elaborate process ', ""\nWhat is the rationale behind Don Pancho's rigorous guidelines "", '']"
3;What type of protection and care does the resort provide to its guests?;" Our goal is that all our guests can enjoy a well-
deserved holiday with us, living the #DonPanchoExperience while being as protected
and cared for as if they were at home.";3;[' to make sure every visitor ', ' feels completely at ease ', ' has their stay ', ' is absolutely worry-free ', ' allows them ', ' to have ', ' we want our guests ', ' can unwind ', ' are able to relax ', ' to feel truly pampered ', ' will be treated like family ', ' enjoy a wonderful break ', ' live the ultimate getaway'];2;15;"['\nTo what extent does the resort offer a secure and nurturing environment for its patrons? ', '\nHow does the resort prioritize the well-being and safety of its clients? ', '\nCan you tell me about any particular precautions or safeguards that the resort takes with regard to its guests? ', '\nWhat type of special attention and support do visitors receive from the resort staff? ', ""\nTo what degree is the resort's atmosphere conducive to relaxation, comfort, and enjoyment for its patrons? "", '\nHow does the resort ensure a pleasant and secure experience for all its visitors? ', '\nCan you describe any particular initiatives or policies that the resort has in place to protect and care for its guests? ', '\nWhat kinds of measures does the resort take to create a sense of tranquility, security, and well-being among its clients? ', ""\nHow does the resort's approach contribute to a positive and memorable experience for its patrons?""]"
4;What are the consequences of not complying with the hotel's rules and recommendations?;"We ask you to read this document carefully as it contains the Hotel's rules and
recommendations to minimise the hygiene and health risks caused by the COVID-
19 virus, without prejudice to current legislation, and which must be complied with
during your stay at our facilities. By accessing our facilities, you expressly agree to
comply with them.";4;"["" it outlines the Hotel's protocols and guidelines aimed at reducing the risk of illness from COVID-19 "", ' these must be adhered to during your stay.\n2. In order to avoid any misunderstandings, we kindly request that you take a few minutes to review these rules ', ' they are in place to safeguard public health and comply with existing laws ', ' please respect them while staying with us.\n3. We need you to take the time to carefully read through this document ', "" it explains how we're working to mitigate the spread of COVID-19 "", ' by entering our facilities, you agree to abide by these measures.\n4. To ensure a safe stay for all, please familiarise yourself with these guidelines ', ' they are designed to reduce the risk of infection from COVID-19 ', ' compliance is mandatory during your visit.\n5. In light of current circumstances, we require that you thoroughly review this document ', ' it outlines our efforts to prevent the spread of COVID-19 ', ' by accessing our facilities, you implicitly agree to adhere to these rules.\n6. As a precautionary measure against COVID-19, please take a moment to read through this document ', ' it provides essential information on how to stay safe while with us ', ' non-compliance will not be tolerated.\n7. We ask that you give this document your full attention ', ' it outlines our procedures for minimising the risk of illness from COVID-19 ', ' these must be observed during your stay at our Hotel.\n8. To guarantee a smooth and enjoyable visit, please make sure to read through these rules ', ' they are in place to prevent the spread of COVID-19 ', ' we expect all guests to comply with them.\n9. We kindly request that you take a few minutes to review this document ', "" it explains how we're taking steps to protect public health from COVID-19 "", "" by entering our facilities, you agree to respect these guidelines.\n10. As a condition of entry into our facilities, please ensure that you've read and understood these rules "", ' they are designed to reduce the risk of illness from COVID-19 ', ' compliance is mandatory during your stay with us.']";3;15;"[""\nWhat are the repercussions of disobeying the hotel's policies "", ""\nWhat kind of trouble can you get into by ignoring the hotel's advice "", ""\nAre there any penalties for failing to adhere to the hotel's rules "", ""\nWhat are the implications of not heeding the hotel's suggestions "", ""\nCan you anticipate the consequences of disregarding the hotel's guidelines "", ""\nWhat are the effects of not complying with the hotel's regulations "", ""\nHow will the hotel respond if you don't follow their rules and recommendations "", ""\nWhat are the outcomes of ignoring the hotel's advice and policies "", ""\nAre there any adverse consequences for failing to comply with the hotel's guidelines "", '']"
5;What is the consequence if a guest breaches one of the hotel's rules?;"
We inform you that the Hotel may terminate the contract, if there is a breach of
any of these rules by the guest.";5;[' The management reserves the right to cancel bookings in case of non-compliance ', ' We hereby notify clients of their contractual obligations ', ' It is stipulated that the hotel will have the authority to sever ties ', ' In the event of contraventions, the contract may be rescinded ', ' You are advised of the possibility for us to revoke the agreement ', ' Breach of these terms will result in cancellation ', ' The hotel reserves the right to terminate the arrangement ', ' If you fail to comply with our rules, we can void your booking ', ' These conditions allow us to cancel your stay without notice'];4;15;"[' \n\nWhat are the repercussions for an individual who fails to comply with the regulations set forth by a lodging facility ', ' \n\nWhat occurs when someone in a hotel setting disregards one of the house rules ', ' \n\nWhat are the consequences for an individual who disobeys the rules established by a hotel ', ' \n\nIf a guest commits an infraction, what is the outcome ', ' \n\nWhat happens to someone who breaks a rule at a lodging establishment ', "" \n\nIn the event that a visitor transgresses one of the hotel's regulations, what are the repercussions "", ' \n\nWhat occurs when a hotel guest fails to adhere to one of the rules set forth by the management ', "" \n\nWhat is the consequence for an individual who violates one of the hotel's established guidelines "", '']"
6;What specific measures has Don Pancho implemented to protect its employees?;"
Our main concern is to ensure that you enjoy the Don Pancho Experience in a safe way,
and for this we have established necessary protection measures, both for you and yours
and for the employees of the Hotel.";6;[' Our objective is safeguarding your enjoyment throughout the Don Pancho Experience ', ' We strive to ensure that you enjoy the Don Pancho Experience without any worries ', ' Our main aim is to provide a secure environment for you and your loved ones during the Don Pancho Experience ', ' For the smooth operation of the Don Pancho Experience we have implemented essential safety protocols ', ' To create a worry-free experience our primary goal is to maintain a safe atmosphere for all at the Hotel ', ' We prioritize protecting both you and your family, as well as our staff, throughout the Don Pancho Experience ', ' Our top concern is ensuring that everyone connected with the Don Pancho Experience feels secure ', ' The Don Pancho Experience takes place within a secure framework we have established ', ' We are committed to maintaining a safe experience for all individuals involved in the Don Pancho Experience ', ''];5;15;['\n\nHow is Don Pancho ensuring a safe working environment for its staff? ', '\n\nWhat employee welfare initiatives are being spearheaded by Don Pancho? ', '\n\nCan you detail the safety protocols that Don Pancho has established for its personnel? ', '\n\nWhat human resources programs does Don Pancho offer to protect its employees? ', '\n\nIn what ways is Don Pancho providing support and protection for its staff? ', '\n\nWhat steps has Don Pancho taken to create a secure work environment for its workers? ', '\n\nHow is Don Pancho promoting employee well-being and safety? ', '\n\nWhat kind of workplace safety policies does Don Pancho have in place? ', '\n\nCan you specify the measures Don Pancho has implemented to shield its employees from harm?']
7;What government agency is responsible for setting guidelines for the hotel's actions?;"
We want to inform you that the rules and actions have been implemented by following
the guidelines set by the Ministry of Health of the Government of Spain, as well as the
ICTE (Spanish Tourist Quality Institute) in order to offer you best practices in service,
facilities and with staff to deal with the virus. ";7;"[' according to guidelines issued by the Ministry of Health of the Spanish Government, as well as the ICTE (Spanish Tourist Quality Institute), so we can provide top-notch care, amenities, and personnel management in relation to the virus.\n\nOur actions and rules have been implemented ', "" following recommendations from the Ministry of Health and the ICTE, in order to offer you a premium service experience, with excellent facilities and staff training for tackling the virus.\n\nWe've put into practice the guidelines "", "" set by the Spanish Government's Ministry of Health and the ICTE (Spanish Tourist Quality Institute), so we can give you the best possible treatment, accommodations, and employee handling procedures in response to the virus.\n\nIn compliance with directives from the Ministry of Health "", "" and the ICTE (Spanish Tourist Quality Institute), we've implemented measures to ensure a first-rate service, facilities, and staff protocols for managing the virus.\n\nThe rules and actions have been put into effect "", "" following advice from the Spanish Government's Ministry of Health and the ICTE (Spanish Tourist Quality Institute) to provide you with the highest standards of care, amenities, and employee procedures in relation to the virus.\n\nOur policies and procedures have been set up "", ' based on recommendations from the Ministry of Health of the Spanish Government and the ICTE (Spanish Tourist Quality Institute), so we can offer you a superior service experience, excellent facilities, and trained staff for managing the virus.\n\nTo ensure your comfort and safety, ', "" we've adopted guidelines from the Ministry of Health and the ICTE (Spanish Tourist Quality Institute) to implement best practices in service, amenities, and personnel handling procedures for dealing with the virus.\n\nWe're adhering to regulations set by "", ' the Ministry of Health of the Spanish Government and the ICTE (Spanish Tourist Quality Institute), which enables us to provide a premium service experience, excellent facilities, and trained staff protocols for managing the virus.\n\nThe guidelines set by the Ministry of Health ', "" and the ICTE (Spanish Tourist Quality Institute) have been followed in implementing our actions and rules, so we can offer you the best possible treatment, accommodations, and employee handling procedures in response to the virus.\n\nWe've adhered to recommendations from "", "" the Spanish Government's Ministry of Health and the ICTE (Spanish Tourist Quality Institute), which has allowed us to put into practice measures for a first-rate service experience, excellent facilities, and trained staff protocols for managing the virus.""]";6;15;"[' Who oversees the formulation of policies governing hotel operations ', "" What regulatory authority sets standards for a hotel's activities "", "" What department establishes rules for the hotel's conduct "", ' Which organization drafts guidelines for hotels to follow ', ' What entity is responsible for developing regulations for hotels ', ' What government office creates laws that govern hotel practices ', ' Which agency promulgates rules and regulations for hotels ', ' Who enforces compliance with regulations in the hotel industry ', ' What administrative body sets standards for hotel services']"
9;What are the specific sanitary criteria established by the relevant authorities for staff health control?;"
In addition, our staff undergoes daily temperature and health control according to the
sanitary criteria established by the relevant authorities";9;"[' Our employees are subjected to constant temperature screenings ', ' Staff members are monitored regularly for signs of illness ', "" The company's team adheres to strict health protocols "", ' We ensure our staff is checked frequently for fever and other symptoms ', ' Daily check-ups on staff temperature and well-being ', ' Constant surveillance of employee physical condition ', ' Regular monitoring of employee health and body temperature ', ' Our employees undergo rigorous daily health assessments ', ' We conduct thorough and frequent health checks on all personnel']";8;15;['\nHow do official agencies define the parameters for worker medical evaluations ', '\nWhat standards does public health policy dictate for employee wellness checks ', '\nCan you provide the protocols that govern employer-sponsored healthcare initiatives ', '\nWhich sanitation regulations require employers to implement staff health monitoring programs ', '\nWhat criteria must organizations meet in order to ensure employee well-being ', '\nHow do official guidelines define the scope of worker health assessments ', '\nAre there specific guidelines for implementing and maintaining a healthy work environment ', '\nWhat measures do regulatory agencies recommend for ensuring staff physical and mental health ', '\nCan you provide details on the standards that govern workplace health and safety protocols ', '']
10;What do the indications contained in the signage and those of the staff refer to?;"
First of all, we ask you to respect and comply with the indications set out in the signage
distributed around our facilities and follow the indications contained herein and those
of our staff.";10;[' Ensure compliance with the guidelines outlined on the signage ', ' Respectfully abide by the instructions provided on the notice boards ', ' Comply with the rules and regulations posted throughout our premises ', ' Heed the warnings and guidance offered by our staff ', ' Observe the guidelines printed on the signs and follow their lead ', ' We kindly request that you respect and conform to the stipulations detailed in the signage ', ' Please adhere to the directives and follow the instructions issued by our staff ', ' Respectfully observe and comply with the rules and regulations outlined in the signage ', ' Adhere to the guidelines displayed on the signposts and follow the directions provided by our personnel'];9;15;"[' \nWhat meaning are conveyed by the various signs and staff signals throughout the area?\n\n', ' \nCan you interpret the purpose of the numerous signs and indicators visible on the premises?\n\n', ' \nWhat information does the signage and staff gesturing impart to the individuals present in this context?\n\n', ' \nTo what end are the signs, directions, and staff cues implemented within this setting?\n\n', ' \nWhat specific details do the various signs, arrows, and staff communications disclose?\n\n', ' \nHow do the numerous signs and staff gestures contribute to a deeper understanding of the surroundings?\n\n', ' \nCan you deduce the intended purpose behind the comprehensive signage and staff indicators in place?\n\n', "" \nTo what extent does the signage and staff communication clarify the environment's layout and rules?""]"
