,question,answer,question_index,answer_reformulate,answer_index,document_index,question_reformulate
0,"What services and deliveries, in addition to hotel accommodation, are covered by the General Terms and Conditions of the Munich Marriott Hotel?","The following General Terms and Conditions apply to rental contracts for hotel accommodation as well as to further services and deliveries provided by the Munich
Marriott Hotel (herein after referred to as the “Hotel”) for the client.",0,"['\n2. The terms of service applicable to guest accommodations at the Munich Marriott Hotel ', ' apply also to additional services and supplies offered by the hotel.\n', '\n3. The following terms govern all contracts for temporary lodging at the Munich Marriott Hotel, as well as any supplementary services or deliveries provided by the hotel.\n', '\n4. These Conditions of Contract pertain to rentals of hotel rooms and other accommodations offered by the Munich Marriott Hotel, in addition to any ancillary services or goods supplied by the hotel.\n', '\n5. The following terms and conditions apply to all rental agreements for guest accommodations at the Munich Marriott Hotel (hereinafter referred to as ""the Hotel""), including any supplementary services or deliveries provided by the hotel.\n', '\n6. These General Terms of Service govern all temporary lodging arrangements made with the Munich Marriott Hotel, in addition to any ancillary services or supplies offered by the hotel.\n', '\n7. The terms and conditions outlined below apply to all rentals of guest accommodations at the Munich Marriott Hotel (hereinafter referred to as ""the Hotel""), including any supplementary services or deliveries provided by the hotel.\n', '\n8. These Conditions of Rental govern all temporary lodging arrangements made with the Munich Marriott Hotel, in addition to any supplementary services or supplies offered by the hotel.\n', '\n9. The following terms and conditions apply to all contracts for temporary lodging at the Munich Marriott Hotel (hereinafter referred to as ""the Hotel""), including any ancillary services or goods supplied by the hotel.\n', '\n10. These Terms of Service govern all rentals of guest accommodations at the Munich Marriott Hotel, in addition to any supplementary services or deliveries provided by the hotel.']",0,16,"['\nIn addition to lodging, what auxiliary amenities and services fall under the purview of the General Terms and Conditions of the Munich Marriott Hotel ', '\nThe General Terms and Conditions of the Munich Marriott Hotel: which ancillary provisions extend beyond accommodation ', '\nGeneral Terms and Conditions of the Munich Marriott Hotel: does it cover hotel accommodations or other guest benefits ', '\nServices beyond lodging encompassed by the General Terms and Conditions of the Munich Marriott Hotel ', '\nIs the General Terms and Conditions of the Munich Marriott Hotel applicable to room stays alone, or is it broader in scope ', '\nDoes the General Terms and Conditions of the Munich Marriott Hotel pertain solely to hotel reservations or also include other offerings ', '\nGeneral Terms and Conditions of the Munich Marriott Hotel: does it include auxiliary services like parking or dining ', '\nWhich supplementary perks and amenities are covered by the General Terms and Conditions of the Munich Marriott Hotel ', '\nDoes the General Terms and Conditions of the Munich Marriott Hotel embrace more than just lodging arrangements ', '']"
1,What are the conditions that require the hotel's written consent?,"
Subletting and re-letting of the rooms as well as the use for any other purpose than accommodation requires the consent of the hotel in writing.
Contrary Conditions of the client shall only apply prior to written agreement.",1,"[' \nHiring out and re-letting of the rooms plus using them for anything else other than lodging requires written consent of the establishment.\n', ' \nThe letting out of the rooms for any use other than residing plus renting out again needs a written agreement with the hotel.\n', ' \nSubleasing and letting out of the premises as well as using it otherwise than as a room necessitates consent from the hotel by letter.\n', ' \nLeasing or letting out the rooms to anyone else necessitates approval from the hotel in writing beforehand.\n', ' \nUsing the rooms for anything other than residing plus renting them out again requires written consent of the establishment.\n', ' \nThe subletting and leasing out of the premises as well as using it otherwise necessitates a written agreement with the hotel.\n', "" \nAny use or re-lease of the rooms that doesn't count as accommodation necessitates written approval from the hotel beforehand.\n"", ' \nUsing the premises for any other purpose than residing plus renting them out again necessitates consent by letter from the establishment.\n', ' \nThe letting out and subleasing of the rooms as well as using it otherwise necessitates a prior written agreement with the hotel.']",1,16,[]
2,What are the conditions for the contract to become effective? ,"
General Terms & Conditions apply as follows:
Conclusion of the Contract, Contracting Parties, Contract Liabilities
The contract becomes effective with the hotel’s acceptance. The hotel is free to confirm the booking of rooms in written form.
Contracting parties are the hotel and the client. If a third party orders on account of the client the third party is jointly and severally liable with the client for all
contract obligations provided the hotel has an appropriate statement of the third party.",2,"[' Terms and Conditions Apply ', ' Contractual Provisions ', ' The Contract Comes into Effect ', ' Agreement Terms ', ' Terms of Engagement ', ' Procedural Rules ', ' Contractual Obligations ', ' Terms of Use ', ' Service Contractual Terms']",2,16,"[' When do the terms of the contract start applying ', ' Under what circumstances will the deal be implemented ', ' In what situations will the contract come into force ', ' On what grounds does the agreement become binding ', ' What triggers the implementation of the contract ', ' What conditions must be met for the agreement to take effect ', ' How and when will the contract become legally enforceable ', ' When do the terms of the contract become irrevocably committed ', ' Under what conditions will the deal become mutually binding']"
3," 
Who are the contracting parties in this contract? ","
General Terms & Conditions apply as follows:
Conclusion of the Contract, Contracting Parties, Contract Liabilities
The contract becomes effective with the hotel’s acceptance. The hotel is free to confirm the booking of rooms in written form.
Contracting parties are the hotel and the client. If a third party orders on account of the client the third party is jointly and severally liable with the client for all
contract obligations provided the hotel has an appropriate statement of the third party.",3,"[' Terms and Conditions Apply ', ' Contractual Provisions ', ' The Contract Comes into Effect ', ' Agreement Terms ', ' Terms of Engagement ', ' Procedural Rules ', ' Contractual Obligations ', ' Terms of Use ', ' Service Contractual Terms']",2,16,"[' \nWhat entities have entered into a contractual agreement ', ' \nWhich entities constitute the contracting parties ', ' \nWhich parties are signatories to this contract ', ' \nWho make up the party involved in this contract ', ' \nWhat are the identities of the contracting entities ', ' \nWho are the counterparties to this agreement ', ' \nWhich individuals or groups comprise the party to this contract ', ' \nWho represent the contractual obligation ', ' \nWhich entities have a mutual agreement ', '']"
4," 
What is the liability of a third party who orders on behalf of the client?","
General Terms & Conditions apply as follows:
Conclusion of the Contract, Contracting Parties, Contract Liabilities
The contract becomes effective with the hotel’s acceptance. The hotel is free to confirm the booking of rooms in written form.
Contracting parties are the hotel and the client. If a third party orders on account of the client the third party is jointly and severally liable with the client for all
contract obligations provided the hotel has an appropriate statement of the third party.",4,"[' Terms and Conditions Apply ', ' Contractual Provisions ', ' The Contract Comes into Effect ', ' Agreement Terms ', ' Terms of Engagement ', ' Procedural Rules ', ' Contractual Obligations ', ' Terms of Use ', ' Service Contractual Terms']",2,16,"['\nWho bears responsibility when someone else places an order in their name ', ""\nWhat implications exist if someone else orders goods or services in a customer's name "", '\nWhat is the accountability of a person acting as proxy in purchasing decisions ', '\nCan liability be assigned to a third-party purchaser on behalf of the client ', ""\nWhat liabilities does a person incur who purchases on another person's account "", '\nWho is accountable for an order placed by someone else in their name ', '\nIn what ways can a third party be held responsible for ordering goods or services for another ', '\nCan a proxy purchaser be liable for any financial obligations incurred ', '\nHow much legal responsibility does a person take on when placing orders on behalf of others ', '']"
5,"What is the time frame for claims against the hotel to become statute-barred in Germany? 
","
In principle, all claims against the hotel become statute-barred within one year from the beginning of the regular statutory limitation regardless knowledge
according to § 199 paragraph 1 of the German Civil Code BGB (Bürgerliches Gesetzbuch). Claims for damage become statute-barred in five years regardless
knowledge. Reduction of limitation shall not apply to claims based on deliberate or gross breach of duty through the hotel.",5,"[' according to § 199 paragraph 1 of the German Civil Code BGB (Bürgerliches Gesetzbuch). Claims for damage become time-barred in five years irrespective ', ' according to § 199 paragraph 1 of the German Civil Code BGB (Bürgerliches Gesetzbuch). All claims against the hotel fall due within one year from the start of the regular statutory deadline regardless knowledge ', ' notwithstanding reduction of limitation shall not apply to complaints based on intentional or serious breach of duty through the accommodation establishment. ', ' In principle, all claims against the hotel lapse after one year from the commencement of the standard statutory deadline irrespective of knowledge according to § 199 paragraph 1 of the German Civil Code BGB (Bürgerliches Gesetzbuch). Claims for compensation become time-barred in five years regardless ', ' All complaints against the accommodation establishment fall due within one year from the start of the regular statutory deadline regardless knowledge. Reduction of limitation shall not apply to claims based on deliberate or serious breach of duty through the hotel, according to § 199 paragraph 1 of the German Civil Code BGB (Bürgerliches Gesetzbuch). All claims against the accommodation establishment lapse within one year from the commencement of the standard statutory deadline irrespective ', ' According to § 199 paragraph 1 of the German Civil Code BGB (Bürgerliches Gesetzbuch), all claims against the hotel fall due within one year from the start of the regular statutory deadline regardless knowledge. Claims for damage become time-barred in five years, as per § 199 paragraph 1 of the German Civil Code BGB (Bürgerliches Gesetzbuch). Reduction of limitation shall not apply to complaints based on intentional or serious breach of duty through the hotel. ', ' In principle, all claims against the accommodation establishment lapse within one year from the commencement of the standard statutory deadline regardless knowledge according to § 199 paragraph 1 of the German Civil Code BGB (Bürgerliches Gesetzbuch). Claims for compensation become time-barred in five years irrespective ', '']",3,16,"[' When do German court proceedings against a hotel for damages expire?\n', ' How long does it take before legal claims against a hotel in Deutschland lose their validity?\n', ' What is the statutory deadline for filing lawsuits against hotels in Deutschland?\n', ' In Germany, how many years can you claim compensation from a hotel?\n', ' At what point do claims against a hotel become null and void in Deutschland?\n', ' For what period are German courts open to hear liability cases against hotels?\n', ' Can I still claim damages against a hotel in Deutschland after 3 years?\n', ' How long does it take before hotel liability expires in Germany?\n', ' What is the time limit for making a complaint about a hotel in Deutschland?']"
6, What is the exception to the reduction of limitation period according to the text?,"
In principle, all claims against the hotel become statute-barred within one year from the beginning of the regular statutory limitation regardless knowledge
according to § 199 paragraph 1 of the German Civil Code BGB (Bürgerliches Gesetzbuch). Claims for damage become statute-barred in five years regardless
knowledge. Reduction of limitation shall not apply to claims based on deliberate or gross breach of duty through the hotel.",6,"[' according to § 199 paragraph 1 of the German Civil Code BGB (Bürgerliches Gesetzbuch). Claims for damage become time-barred in five years irrespective ', ' according to § 199 paragraph 1 of the German Civil Code BGB (Bürgerliches Gesetzbuch). All claims against the hotel fall due within one year from the start of the regular statutory deadline regardless knowledge ', ' notwithstanding reduction of limitation shall not apply to complaints based on intentional or serious breach of duty through the accommodation establishment. ', ' In principle, all claims against the hotel lapse after one year from the commencement of the standard statutory deadline irrespective of knowledge according to § 199 paragraph 1 of the German Civil Code BGB (Bürgerliches Gesetzbuch). Claims for compensation become time-barred in five years regardless ', ' All complaints against the accommodation establishment fall due within one year from the start of the regular statutory deadline regardless knowledge. Reduction of limitation shall not apply to claims based on deliberate or serious breach of duty through the hotel, according to § 199 paragraph 1 of the German Civil Code BGB (Bürgerliches Gesetzbuch). All claims against the accommodation establishment lapse within one year from the commencement of the standard statutory deadline irrespective ', ' According to § 199 paragraph 1 of the German Civil Code BGB (Bürgerliches Gesetzbuch), all claims against the hotel fall due within one year from the start of the regular statutory deadline regardless knowledge. Claims for damage become time-barred in five years, as per § 199 paragraph 1 of the German Civil Code BGB (Bürgerliches Gesetzbuch). Reduction of limitation shall not apply to complaints based on intentional or serious breach of duty through the hotel. ', ' In principle, all claims against the accommodation establishment lapse within one year from the commencement of the standard statutory deadline regardless knowledge according to § 199 paragraph 1 of the German Civil Code BGB (Bürgerliches Gesetzbuch). Claims for compensation become time-barred in five years irrespective ', '']",3,16,"[' How does one exemption work ', "" Which situation isn't an exclusion "", ' An omission from shortened deadline ', ' Not a case of curtailed statute of limitations ', "" Where doesn't the cut-off rule apply "", "" What isn't eligible for reduced timeframe "", ' An exception to shorter limitations period ', ' Case not included in the reduced timeline ', "" What's left out of accelerated statute""]"
7,What are the main responsibilities of the hotel towards its clients?,"
The hotel is obliged to have the rooms ready for the client and to provide the service as contracted.",7,"['\nThe inn is compelled to get the suites prepared and furnish the amenities as stipulated ', '\nThe hospitality provider must guarantee that the accommodations are ready and deliver the services as promised ', '\nThe lodging facility has a duty to ensure the rooms are available and provide the expected services ', '\nThe hostelry is contractually obligated to make the guestrooms ready and supply the agreed-upon amenities ', '\nThe resort owes it to its patrons to have the lodgings prepared and offer the contracted services ', '\nThe hotelier must ensure that the guest quarters are in order and deliver the promised services ', '\nThe lodging service provider has a responsibility to make the rooms available and provide the expected assistance ', '\nThe establishment has an obligation to ready the bedrooms and render the agreed-upon amenities ', '\nThe innkeeper is bound by contract to prepare the suites and supply the stipulated services ', '']",4,16,"[' \nHow should hotels serve their customers ', ' \nWhat duties do hotels owe to their patrons ', ' \nTo what extent must hotels cater to the needs of their visitors ', ' \nWhat is the primary role of a hotel in relation to its clientele ', ' \nWhat are the core responsibilities of a hotel towards its consumers ', ' \nIn what ways should hotels engage with their clients ', ' \nHow do hotels demonstrate their commitment to customer satisfaction ', ' \nWhat are the key obligations of a hotel towards its customers ', ' \nHow can hotels ensure they meet the expectations of their patrons ', '']"
8,"What are the services that the client is responsible for paying for, according to the hotel's policy?","
In order to use the room and additional services the client is obliged to pay the valid price respectively the price as contracted. This also applies to services and
expenses of the hotel towards third arranged by the client.",8,"[' the originally negotiated rate ', ' the agreed-upon fee ', ' the stipulated charge ', ' the contracted price ', ' the specified amount ', ' the predetermined cost ', ' the set rate ', ' the designated sum ', ' the established fee']",5,16,"[' what do guests have to pay for at the hotel ', ""\nWhich payments are due from guests as per hotel regulations?\nAccording to the hotel's policies "", "" what costs fall on the client?\nGuests' expenses "", ' which services are they liable for ', ""\nWhat fees are clients responsible for paying, according to the hotel's guidelines?\nPursuant to the hotel's rules "", ' who is accountable for certain charges ', '\nWhich expenditures will guests be expected to cover at the hotel?\nServices that require a payment from the client ', ' what is the policy ', ""\nHow much do clients have to pay for under the hotel's regulations?""]"
9,What are the conditions under which the hotel can increase the contracted price of hotel services? ,"
The prices contracted include the legal value added tax. Provided, the time period between conclusion and performance of the contract exceeds four months
and the generally calculated price for hotel services increase, the hotel has the right to increase the contracted price adequately, however by 5% at the most.
The hotel reserves the right to adjust prices in case the client requires later amendments regarding the contracted number of rooms, hotel services or length of
stay and the hotel agrees to it.",9,"[' VAT added as per law ', ' In cases where contract conclusion and performance exceed four months ', ' Prices may increase by up to 5% if service costs rise ', ' Hotel reserves right to adjust rates for changed client requests ', ' Price adjustments allowed with client consent ', ' Contracted rates subject to change in case of unforeseen circumstances ', ' Services price hike permitted up to 5% ', ' Client agreement needed for room or service changes ', ' Rates may fluctuate based on extended contract duration ', '']",6,16,"[' When does a hotel have the authority to boost its contracted room prices? ', ' Under what terms can a hotel adjust upwards the contractual cost of its amenities? ', ' Can you outline the scenarios where a hotel is permitted to hike up its contracted fees? ', ' What are the conditions under which a hotel can enhance the contracted price of its accommodations? ', ' In what situations does a hotel have the right to increase its contracted service prices? ', ' When can a hotel unilaterally raise its contractual room rates? ', ' Are there specific circumstances that allow a hotel to boost its contracted prices for services? ', ' What are the preconditions under which a hotel can revise upwards its contracted tariffs?']"
