;question;answer;question_index;answer_reformulate;answer_index;document_index;question_reformulate
1;What type of expenses will you be deemed the contracting party for?;"
Without limiting the generality of the aforementioned, it applies to pay-to-view TV programmes or videos, as
well as telephone calls or any other expenses of a similar nature that is made from your room, you will be
deemed to be the contracting party.";1;['\nAny extra costs incurred for viewing TV programmes or online videos within your allocated accommodation space will be considered a responsibility of yours ', '\nNotwithstanding specific exceptions, residents are expected to cover any additional fees associated with pay-per-view channels or video streaming services ', '\nThis condition applies to all charges related to phone calls or any other miscellaneous expenses made from student rooms ', '\nYou shall be held accountable for all additional expenses incurred within your room, including TV programme subscriptions ', '\nIf you utilise the telephone service in your room and incur additional charges, these will be considered as part of your agreement ', '\nIn addition to the standard terms, this policy encompasses any other miscellaneous expenses, similar to phone or video services ', '\nThis policy extends to cover all charges associated with pay-to-view TV programmes, phone calls, and any similar expenses incurred in student rooms ', '\nAny supplementary costs related to television viewing within your allocated accommodation space will be considered a responsibility of yours ', '\nYou are liable for any additional fees associated with the use of pay-per-view channels or other services utilised within your room ', ''];1;1;"[' Will you be held accountable for which specific costs?\n', ' How are your financial responsibilities defined in the contract?\n', ' What kinds of expenses do you assume as a contractual participant?\n', "" Are there particular expenditures that you'll be responsible for covering?\n"", ' Which categories of costs would you be expected to bear as a contracting party?\n', ' Would you be considered responsible for any specific types of expenses?\n', ' Can you please specify which types of costs will be attributed to your role in the contract?\n', ' As a signatory to the agreement, what kinds of expenditures do you anticipate being accountable for?\n', ' Will your contractual obligations involve bearing responsibility for certain categories of expenses?']"
3;What is the maximum number of people allowed in the room according to the specified limitation?;"
Please take note of the limitation specified for the room you have booked.
If such number is exceeded, whether temporarily or over-night, we reserve the right to do one or more of
the following: cancel your booking; retain all the monies you've paid; request you to vacate your room(s)
forthwith, charge a higher rate for the room or recover all monies due.";3;"[' You must adhere to the maximum number of people stipulated in your booking agreement.\n', ' Be aware that exceeding the designated capacity may result in one or more actions being taken against you.\n', ' Note that the maximum capacity is strictly enforced and any breach will be dealt with accordingly.\n', "" The room's occupancy limit should not be exceeded, as this may lead to consequences.\n"", ' Failure to observe the set number of occupants may have repercussions.\n', ' In case of exceeding the allowed number, we reserve the right to take necessary measures.\n', ' The maximum capacity for your room(s) must be respected at all times.\n', ' Breaching the occupancy limit will trigger our contractual terms and conditions.\n', ' Exceeding the stipulated number of people may result in a higher rate being applied or cancellation of your booking.']";3;1;"[' How many individuals are permitted to enter the space at one time ', "" What is the room's total seating allowance "", ' How many bodies can be accommodated within those constraints ', ' At what point does overcrowding become an issue in that particular location ', ' How many attendees can be safely accommodated according to the given regulations ', ' What is the maximum allowable population density in that area ', ' Can you tell me the highest number of people permitted to congregate there ', ' What are the specific rules regarding occupancy numbers within that enclosed space ', ' How many human beings are officially allowed to be present at any given moment ', '']"
4;Are visitors allowed to be in the same room as residents in this establishment?;"
Visitors are not allowed in the rooms and must be entertained in the lounges and/or other public areas
provided.";4;"['\nPatrons are prohibited from accessing the private quarters and are instead encouraged to stay in the communal spaces ', '\nIndividuals visiting from outside are not permitted entry into the personal chambers and should remain in designated public zones ', ""\nNon-residents are excluded from entering the resident's bedrooms and must be directed to the reception or common areas "", '\nThe public is restricted from entering the private rooms and should be seated in the adjacent lounge or other available areas ', '\nPeople outside the household are not allowed into the living quarters and will be entertained in the sitting room ', '\nVisitors cannot enter the residential sections and must enjoy their stay in the hotel lobby, restaurant, or bar ', '\nThose from the outside world are prohibited from entering the inner sanctum and should socialize in the public spaces provided ', '\nThe general public is forbidden from accessing the private areas of the house and will be entertained in the designated recreation room ', '\nPeople not living on premises are restricted from entering the residential floors and must be entertained in the downstairs reception area ', '']";4;1;"[' \nCan outsiders occupy the same space as people living here ', ' \nIs it possible for non-residents to coexist in the same physical space ', ' \nDo individuals who are not permanent occupants have permission to be present ', ' \nMay temporary visitors inhabit the same rooms as long-term dwellers ', ' \nAre non-inhabitants granted access to shared spaces within this facility ', "" \nCan external parties enter areas designated for residents' use "", ' \nIs there an allowance for outsiders to congregate in the same room with inhabitants ', ' \nDo individuals from outside this community have permission to occupy the same space ', ' \nMay visitors from outside the household coexist in shared spaces ', '']"
5;What is included in the price as advertised? ;"
It is your duty to confirm what is included/excluded in the price. The price is as advertised, but subject to
change until the required deposit has been paid and is reflected in our bank account. The deposit is non-refundable
regardless of the circumstances giving rise to cancellation, unless cancelled by us.";5;"['. The quoted price is accurate, but may be modified until the specified advance payment has been made and deposited into our bank account $.\nThe initial down payment is non-refundable, even if circumstances beyond your control necessitate cancellation, except in cases where we cancel ', "".\nIt's essential to confirm what aspects of the package are included or excluded from the overall price "", '. The listed cost may be subject to change until the required deposit has been paid and credited into our bank account $.\nOur prices are as advertised, but can be adjusted up to the point when the mandatory down payment has been made and reflected in our financial records ', '.\nPlease note that any cancellation will result in the loss of your initial payment, regardless of the reason for cancellation, unless we ourselves initiate the cancellation process ', '.\nYou must confirm what elements are included or excluded from the overall cost, as our advertised price may be altered until the specified deposit has been paid and processed ', "".\nIt is crucial to verify what services are encompassed within the total price, as this may change up to the point when the required advance payment has been made and credited into our bank account $.\nTo avoid any confusion, it's essential to confirm what aspects of the package are included or excluded from the overall cost, as our advertised prices may be subject to modification "", '.\nThe listed price is accurate, but may be changed until the specified down payment has been received and deposited into our bank account, at which point it will be reflected in our financial records $.\nPlease confirm what aspects of the package are included or excluded from the overall cost, as this information is essential for your understanding of the advertised price ', '.']";5;1;['\nWhat benefits do customers get for the specified cost ', '\nAre all the promised features included at this rate ', '\nWhat extras come along with the listed price ', '\nWhat value does the client receive for their investment ', '\nIs everything mentioned in the advertisement provided ', '\nWhat is encompassed by the stated expense ', '\nDoes the quoted sum cover everything as advertised ', '\nAre all the details stipulated within the given fee ', '\nCan customers anticipate getting the full scope at this cost ', '']
6; What are the circumstances that would allow for the deposit to be refunded?;"
It is your duty to confirm what is included/excluded in the price. The price is as advertised, but subject to
change until the required deposit has been paid and is reflected in our bank account. The deposit is non-refundable
regardless of the circumstances giving rise to cancellation, unless cancelled by us.";6;"['. The quoted price is accurate, but may be modified until the specified advance payment has been made and deposited into our bank account $.\nThe initial down payment is non-refundable, even if circumstances beyond your control necessitate cancellation, except in cases where we cancel ', "".\nIt's essential to confirm what aspects of the package are included or excluded from the overall price "", '. The listed cost may be subject to change until the required deposit has been paid and credited into our bank account $.\nOur prices are as advertised, but can be adjusted up to the point when the mandatory down payment has been made and reflected in our financial records ', '.\nPlease note that any cancellation will result in the loss of your initial payment, regardless of the reason for cancellation, unless we ourselves initiate the cancellation process ', '.\nYou must confirm what elements are included or excluded from the overall cost, as our advertised price may be altered until the specified deposit has been paid and processed ', "".\nIt is crucial to verify what services are encompassed within the total price, as this may change up to the point when the required advance payment has been made and credited into our bank account $.\nTo avoid any confusion, it's essential to confirm what aspects of the package are included or excluded from the overall cost, as our advertised prices may be subject to modification "", '.\nThe listed price is accurate, but may be changed until the specified down payment has been received and deposited into our bank account, at which point it will be reflected in our financial records $.\nPlease confirm what aspects of the package are included or excluded from the overall cost, as this information is essential for your understanding of the advertised price ', '.']";5;1;[' Can I get my money back if certain criteria are met ', ' Under what terms can I retrieve the initial payment ', ' Are there specific scenarios where the refund policy comes into effect ', ' What situations necessitate a repayment of the initially placed funds ', ' Can one qualify for reimbursement in specific circumstances ', ' Are there any exceptions to the no-refund rule that apply ', ' In what cases is the deposit eligible for reimbursement ', ' Can you receive your money back if certain conditions are fulfilled ', ' Under which scenarios can I claim my money back ', '']
7;Can you pay with a cheque at this establishment?;"
We accept cash and most credit / debit cards.
We do not accept cheques.";7;"[' We welcome cash and card payments ', ' Cash is accepted, plus all leading debit/credit cards ', ' All major plastic cards are accepted, cash also ', ' Credit/debit cards are okay, but no cheques please ', "" We're happy to accept cash or use your credit/debit card "", ' No cheques, but we do take cash and popular bank cards ', ' Cash payments are fine, as well as all types of cards ', "" We don't take cheques, just cash and the big 3 cards "", "" Cash is fine, so's any major credit/debit card, except cheques "", '']";6;1;"[""\nIs it feasible to settle the bill with a cashier's check?\n"", '\nCan I use a bank draft for payment?\n', '\nWill they take an IOU in lieu of actual payment?\n', '\nAm I able to pay by cheque?\n', '\nMay I utilize a cheque as form of tender?\n', '\nDo they permit cheques as a payment option?\n', ""\nIs it conceivable to settle the account with a travellers' cheque?\n"", '\nCan a cheque be used for paying the bill?']"
8;What type of payment method is used as an alternative to a credit card imprint?;"
We reserve the right to take an imprint of and place a hold for the anticipated costs of your stay on your
credit card upon arrival, or in lieu of that, request a cash deposit.";8;['\nIn the event of your stay, we may impose a pre-authorization charge on your credit/debit card to cover estimated costs, or instead request a cash security deposit.\n', '\nUpon arrival, you will be subject to a provisional holding of funds from your credit account to guarantee against any charges related to your visit.\n', '\nWe reserve the right to temporarily place a hold on your credit card for an estimate of expenses associated with your stay, or alternatively request a cash pledge.\n', '\nYour credit/debit card may be charged a placeholder amount by us upon arrival to secure payment for anticipated costs incurred during your visit.\n', '\nIn order to cover expected expenditures, we may freeze a portion of funds from your credit account as a pre-authorization charge when you arrive at our establishment.\n', '\nWe reserve the authority to temporarily debit an estimate of expenses associated with your stay on your credit card or request a cash deposit as compensation.\n', '\nYou will be required to provide us with a guarantee against any costs related to your visit, either by way of a pre-authorization charge on your credit/debit card or a cash pledge.\n', '\nWe may, upon check-in, temporarily debit an estimate of anticipated expenses from your credit account, or alternatively require a cash down payment as assurance.'];7;1;"["" What monetary system do you use if you don't have your bankcard handy?\n"", ' How else can I pay for my purchases without swiping my credit card?\n', ' Is there another way to make payment aside from charging it on my card?\n', ' Can I settle the bill in some other way than through my plastic card?\n', ' What payment procedure do you utilize if not using a charge slip?\n', ' Can we use an alternative to a credit or debit card for settlement purposes?\n', ' Would you accept something else as a form of monetary payment instead of your bankcard?\n', ' Is there another method I can employ to settle the bill rather than using my credit card imprint?\n', ' How do you process payments if not through a charge slip or bankcard?']"
10;Will your booking be cancelled if you don't notify the establishment by 17:00 on the day of arrival?;"Please advise us if you anticipate arriving late as bookings will be cancelled by 17:00 on the day of arrival,
unless we have been so notified.";10;[' Notification to this effect is essential, as bookings will be automatically cancelled if no prior warning has been given by 17:00 on the day of intended arrival.\n\n', ' Please make sure to advise us well in advance should your expected arrival time exceed our cancellation deadline of 17:00.\n\n', ' If you anticipate being late, kindly notify us beforehand so we can adjust booking arrangements accordingly.\n\n', ' Be aware that bookings will be cancelled if no notification is received prior to 17:00 on the day of intended arrival.\n\n', ' Late arrivals necessitate prior notice to avoid cancellation of your booking by 17:00.\n\n', ' Please notify us as soon as possible should you expect to arrive after our scheduled cut-off for same-day cancellations at 17:00.\n\n', ' It is essential that we receive notification from you if your expected arrival time falls behind our deadline, which is 17:00 on the day of intended arrival.\n\n', ' Bookings will be cancelled without prior notice if no communication is received by us by 17:00 on the day of planned arrival, in cases where late arrival is anticipated.\n\n', ' We kindly request that you notify us with sufficient lead time should your expected arrival time conflict with our cancellation deadline at 17:00.'];9;1;"["" Will my room reservation be cancelled if I don't give notice to the lodging by 5 o'clock in the evening on the day of my check-in "", "" Won't my booking get axed if I neglect to notify the innkeepers before 17:00 on the day I plan to show up "", "" Can I face a voiding of my reservation if I don't send word to the proprietor by 5 pm sharp on the day I'm planning to arrive "", "" Will my room be taken away from me if I don't let them know by half past five in the evening on the day I roll in "", "" Won't my room be revoked if I don't notify the reception desk before 17:00 on the day of my arrival "", "" Can my booking get cancelled if I fail to give notice to the proprietor before the 5 o'clock mark on the day of my check-in "", "" Will I risk losing my reservation if I don't send word to the establishment by 5 pm in the afternoon on the day of my visit "", "" Won't my room be cancelled if I neglect to notify the hotel management by 17:00 on the day I'm scheduled to arrive "", "" Can I expect my booking to get voided if I fail to give notice to the proprietors before the 5 o'clock cut off on the day I show up "", '']"
11;What are the potential extra costs associated with early check-in and late check-out?;"
Early check-in and late check-out: we will use our best endeavours to accommodate you, but an
additional charge may be levied.";11;"[""\n\nAdvance arrival and extended stay privileges: we'll try our best to honour your request, subject to possible additional payment "", '\n\nEarly entry and late exit permissions: our staff will make every effort to accommodate you, with extra costs possibly incurred ', '\n\nPremature check-in and extended check-out options: we will attempt to provide this service, with potential added expenses ', '\n\nPre-arrival before the standard time and post-departure privileges: our goal is to satisfy your needs, albeit at a possible extra cost ', '\n\nEarly start and late finish concessions: our team will strive to accommodate you, though an additional fee might be required ', ""\n\nAdvance arrival and stay-beyond-hours approvals: we'll do our best to grant this favour, subject to any supplementary charges "", '\n\nEarly entrance before schedule and extended exit permissions: we will endeavour to help you with possible added costs ', '\n\nCheck-in ahead of time and check-out later than usual privileges: our staff will attempt to accommodate your request, with potential additional expenses ', '\n\nBefore-schedule arrival and beyond-regular-hours stay approvals: our goal is to satisfy your needs, subject to possible supplementary fees ', '']";10;1;[' Are there additional charges linked to advance arrival and delayed exit?\n\n', ' Can you outline the supplementary expenses related to pre-noon entry and evening stayover?\n\n', ' What are the potential surcharges connected with early admittance and post-checkout linger?\n\n', ' Might one expect extra fees tied to morning arrival and extended evening presence?\n\n', ' Are there any additional costs associated with expedited check-in and delayed checkout?\n\n', ' Can you detail the supplementary expenditures linked to rapid entry and prolonged exit?\n\n', ' Would you anticipate supplemental charges for premature check-in and extended post-arrival stay?\n\n', ' What are the potential added expenses related to swift entry and late departure clearance?\n\n', ' Might supplementary fees be incurred for accelerated check-in and prolonged check-out presence?']
12;Will the company meet any special requests that are made?;"
We do not guarantee that any special requests will be met, but we will use our best endeavours to do so as
well as using our best endeavours to advise you if that is not the case.";12;"[' We will exert ourselves to the fullest extent possible in attempting to comply ', ' Our efforts will be directed towards advising you if we are unable to meet your specific requirements ', ' While we cannot guarantee the fulfillment of special requests, we will do our utmost to accommodate them ', "" We can't promise to fulfill one-time requests, but we'll make every effort to advise you otherwise "", "" We can't guarantee that we'll meet any extraordinary demands, but we'll use our best judgment in advising you "", "" No promises are made about meeting unusual demands, but we'll do our best to inform you otherwise "", ' We cannot assure the satisfaction of special requests, however, we will endeavour to provide guidance if that is not possible ', "" We can't ensure the fulfillment of one-off requests, but we'll make every effort to advise you accordingly "", "" We don't promise to meet any out-of-the-ordinary demands, but we'll use our best endeavours to inform you otherwise""]";11;1;['\nWill the organization accommodate individual preferences?\n', '\nCan the business cater to specific needs?\n', '\nWill the corporation respond positively to unique requests?\n', '\nDoes the company offer personalized service?\n', '\nCan the firm tailor its offerings to suit special requirements?\n', '\nWill the organization go above and beyond in meeting requests?\n', '\nDoes the business have flexibility in accommodating individual preferences?\n', '\nWill the corporation bend rules to accommodate special requests?']
