;question;answer;question_index;answer_reformulate;answer_index;document_index;question_reformulate
1;" 
What are the alternative options for making bookings at the hotel? ";"Bookings can be made by writing a request to the hotel's e-mail office@lhj.lv or by
filling out the necessary information on the hotel's website www.lighthousejurmala.lv
to send the reservation request, or by other reservation websites (online reservation
systems).";1;"["" By submitting a written request through the hotel's official website www.lighthousejurmala.lv "", "" A booking request can be submitted online at the hotel's site www.lighthousejurmala.lv "", "" The necessary information for reservation can be filled out on the hotel's webpage www.lighthousejurmala.lv "", "" To make a booking, write to the hotel's e-mail office@lhj.lv "", ' Reservations may be made through the filling of necessary details on www.lighthousejurmala.lv ', ' Bookings are accepted by an email sent to office@lhj.lv ', ' Booking forms can be found and filled out at www.lighthousejurmala.lv ', ' To reserve, please send a message via office@lhj.lv ', ' The hotel accepts bookings through its website www.lighthousejurmala.lv ', '']";0;12;[' What various channels can be used to reserve accommodations at the hotel?\n', ' Which alternatives exist for arranging lodgings at the hotel?\n', ' Can you tell me about the different ways I can make reservations at the hotel?\n', ' Are there any other options besides phone or online booking for the hotel?\n', ' How else can one schedule a stay at the hotel?\n', ' What secondary methods are used to secure accommodations at the hotel?\n', ' Besides internet and phone, what other mediums can be employed for making bookings?\n', ' Can you outline the various avenues through which I can reserve a room at the hotel?\n', ' Are there any supplementary ways of arranging a booking at the hotel?']
2;" 
Can bookings be made directly through the hotel's website?";"Bookings can be made by writing a request to the hotel's e-mail office@lhj.lv or by
filling out the necessary information on the hotel's website www.lighthousejurmala.lv
to send the reservation request, or by other reservation websites (online reservation
systems).";2;"["" By submitting a written request through the hotel's official website www.lighthousejurmala.lv "", "" A booking request can be submitted online at the hotel's site www.lighthousejurmala.lv "", "" The necessary information for reservation can be filled out on the hotel's webpage www.lighthousejurmala.lv "", "" To make a booking, write to the hotel's e-mail office@lhj.lv "", ' Reservations may be made through the filling of necessary details on www.lighthousejurmala.lv ', ' Bookings are accepted by an email sent to office@lhj.lv ', ' Booking forms can be found and filled out at www.lighthousejurmala.lv ', ' To reserve, please send a message via office@lhj.lv ', ' The hotel accepts bookings through its website www.lighthousejurmala.lv ', '']";0;12;"["" \nIs there a way to book rooms straight from the hotel's webpage "", ' \nCan I make an immediate booking on their official website ', ' \nDoes the hotel allow direct room bookings on its own website ', ' \nHow do I go about reserving a room through their main site ', ' \nCan you make a reservation directly via the hotels website ', "" \nIs it possible to book rooms online on the hotel's main website "", ' \nDo they have an option for booking rooms directly through their webpage ', ' \nHow can I book a room straight from their official homepage ', ' \nCan one reserve a room by going directly to their main website ', '']"
3;What information is required from the guest to book a room in the hotel?;"
To book a room in the hotel, the guest must electronically notify hotel administration
the exact room name, accommodation period, guest's name, phone number, e-mail
address and guest's credit card number and its expiration date, thus guaranteeing the
payment for booked hotel services in case of late cancellation or no show.";3;"[' of their preferred accommodation, including the exact room name ', ', length of stay ', ', and personal details ', ' such as full name ', ', phone number ', ', email address ', ', and credit card information ', '.\n\nIn order to book a room at the hotel, guests must submit an electronic request ', ' specifying the exact room name ', ', duration of stay ', "", guest's identity "", ' including name ', ', contact information ', ' like phone number ', ', and email address ', ', as well as credit card details ', '.\n\nGuests wishing to reserve a room in the hotel should submit their requirements electronically ', ' providing accurate information ', ' such as the specific room name ', ', accommodation period ', ', full name ', ', phone number ', ', email address ', ', and credit card data ', '.\n\nHotel guests must fill out an electronic form ', ' with essential details ', ' like the exact room name ', "", guest's stay dates "", ', personal identity ', ' including name ', ', contact information ', ' like phone number ', ', and email address ', ', in addition to credit card details ', '.\n\nTo make a reservation at the hotel, clients must electronically input their preferences ', ' specifying the precise room name ', ', duration of accommodation ', ', and relevant personal data ', ' such as name ', ', telephone number ', ', email address ', ', and credit card information ', '.\n\nAccommodating guests at the hotel requires electronic notification ', ' of essential particulars ', ' including the exact room name ', ', period of stay ', "", guest's identity "", ' like full name ', ', contact details ', ' like phone number ', ', and credit card data ', '.\n\nIn order to secure a reservation in the hotel, guests must submit an electronic request ', ' providing detailed information ', ' such as the specific room name ', ', accommodation dates ', ', personal details ', ' including name ', ', contact information ', ' like phone number ', ', email address ', ', and credit card particulars ', '.\n\nHotel reservations require electronic submission ', "" of guest's preferences "", ' specifying the exact room name ', ', duration of stay ', ', full name ', ', contact details ', ' like phone number ', ', and relevant credit card data ', '.\n\nTo process a hotel reservation, the guest must electronically input their requirements ', ' including the precise room name ', ', period of accommodation ', ', personal identity ', ' such as name ', ', contact information ', ' like phone number ', ', email address ', ', and credit card details ', '.']";1;12;['\nTo confirm a booking what personal info must be provided by guests ', '\nWhat specifics does one need to know when making a reservation for accommodations ', '\nIn order to secure a room, what particulars are needed from potential guests ', '\nWhat basic information is required to book a guestroom in the establishment ', '\nHow do we obtain necessary details from clients looking to reserve a hotel space ', '\nTo finalize the booking, what essential facts must be gathered ', '\nWhat important specifics should one provide to confirm a reservation at our inn ', '\nWhen reserving a room, what minimum info is needed from prospective guests ', '\nWhat crucial particulars are required for securing lodging arrangements ', '']
4;What types of credit cards are accepted by the hotel?;"
The hotel accepts American Express, Visa, MasterCard, Maestro credit cards for the
payment";4;[' \nWe accept a variety of card types, including American Express, Visa, MasterCard, Maestro ', ' \nFor settlement, we welcome American Express, Visa, MasterCard, Maestro cards ', ' \nOur payment system acknowledges American Express, Visa, MasterCard, Maestro cards ', ' \nThe hotel facility accepts the following credit cards: American Express, Visa, MasterCard, Maestro ', ' \nA range of cards are accepted for payment, including American Express, Visa, MasterCard, Maestro ', ' \nFor convenience, we accept American Express, Visa, MasterCard, Maestro cards for settlement ', ' \nOur acceptance includes American Express, Visa, MasterCard, Maestro credit cards for the payment amount ', ' \nWe process payments using American Express, Visa, MasterCard, Maestro credit cards ', ' \nVarious types of credit cards are accepted, namely American Express, Visa, MasterCard, Maestro ', ''];2;12;"[' Are there specific card brands that the hotel takes ', ' What kinds of charge cards are accepted at the hotel ', "" Which companies' credit cards can be used to settle the bill "", ' Does the hotel have a preferred credit card or a preferred payment method ', ' Can you use VISA cards for booking and check-in ', ' Is it possible to pay with Mastercard, Amex, Diners Club etc ', ' Are Discover, JCB, and other international credit cards accepted at this establishment ', ' What types of electronic payments can be processed by the hotel ', ' Which major bank card brands are recognized by the hotel']"
6;What are the two methods of guaranteeing a hotel reservation?;"The reservation can be guaranteed only by providing the hotel with the guest's credit
card number and expiration date or by making a prepayment (not later than 24 hours
prior to arrival).";6;"[' for security purposes, hence guests must provide their credit card details including the expiry date ', ' to secure a guaranteed reservation. \nThe hotel accepts credit cards as guarantee ', "" but only if the guest's card number and expiration date are provided in advance. \nGuests can confirm their room reservation by submitting their credit card information or making an immediate payment "", ' within 24 hours prior to arrival. \nTo ensure the booking is held, guests must supply their credit card details ', ' including the card expiration date. \nA guaranteed hotel reservation requires the submission of a valid credit card number and expiry date ', ' in order to secure the booking. \nBy providing their credit card information ', ', guests can confirm their hotel room reservation with a prepayment or by making an advance payment within 24 hours prior to arrival. \nOnly a guaranteed credit card (', '), including the expiration date, will ensure that the hotel room is reserved for the guest. \nTo secure a confirmed hotel booking, guests must supply their credit card details ', ', which include the card number and expiry date. \nThe hotel requires a valid credit card (', ') as guarantee for the booking to be held until arrival.']";4;12;[' Ensuring booking confirmation procedures\n\nHow can travelers confirm their room reservations?\n\n', ' Methods for verifying hotel bookings\n\nWhat protocols can hotels follow to solidify guest reservations?\n\n', ' Techniques for validating hotel appointments\n\nCan guests rely on hotels to honor their booking commitments?\n\n', ' Strategies for confirming overnight stays']
8;What is the latest time a reservation can be canceled without penalty?;"Guaranteed reservation without any penalties may be canceled up to 72 hours prior to
arrival date, by sending a written request for reservation cancellation by e- mail
office@lhj.lv or by exact online reservation systems, where the booking was made.";8;[' office@lhj.lv ', ' \nGuaranteed bookings with no penalties may be cancelled up to 72 hours prior to check-in date ', ' by submitting a formal request for cancellation via email or online reservation system ', '\nBookings secured without any additional fees can be cancelled within 3 days of scheduled arrival, through written request sent via electronic mail ', ' office@lhj.lv ', ' \nConfirmed bookings subject to no penalties will be cancelled up to 3 days prior to check-in date, by submitting a formal request for cancellation via email or online system ', '\nBookings that have been guaranteed without any extra charges may be cancelled within 72 hours of the scheduled arrival, through a written request sent via electronic mail ', ' \nSecure bookings with no penalties can be cancelled up to 3 days prior to check-in date, by submitting a formal request for cancellation via email or online reservation system ', '\nReservations that are guaranteed without any additional fees may be cancelled up to 72 hours prior to arrival date, through written request sent via electronic mail ', ' \nConfirmed bookings with no penalties will be cancelled within 3 days of the scheduled check-in date, by submitting a formal request for cancellation via email or online reservation system ', '\nGuaranteed bookings that have been secured without any extra charges can be cancelled up to 72 hours prior to check-in date, through written request sent via electronic mail ', ' \nBookings confirmed without any penalties may be cancelled within 3 days of scheduled arrival, by submitting a formal request for cancellation via email or online system ', ''];6;12;['How late into the day can you still cancel reservations without consequence?\n', 'At what point do cancellation fees kick in for reservations?\n', 'When does the last opportunity to back out of a reservation arrive?\n', 'What time is too late to cancel reservations without penalty?\n', 'Can I still cancel reservations past this deadline without issues?\n', 'Up until when are cancellations honored without charges?\n', 'Is there a specific hour after which all cancellations incur fees?\n', 'How close to the scheduled time can you still cancel with no penalties?\n', 'At what point do reservations become non-refundable?']
10;What is the penalty for cancelling a guaranteed reservation after 72 hours?;"If the guaranteed with credit card reservation is cancelled after more than 72 hours
before the date of arrival or in case of no -show, a penalty equal to the
accommodation cost for the first night will be charged.";10;"[' within over three days prior stay initiation date incurs nightly lodging fee penalty.\nA payment reservation backed by credit card voided ', ' after 72 hours more beyond check-in day causes full invoice amount charge.\nWhen a guaranteed credit reservation is cancelled ', "" the night before arrival or guest doesn't show, you pay one night room cost.\nFor a prepaid booking secured with credit card, cancelling "", ' over three days prior to your stay results in first night rate fine.\nShould a guaranteed accommodation be cancelled ', "" after more than 72 hours from planned check-in date, you'll be charged for the full first night's lodging fee.\nBooking made secure by credit guarantee payment voided "", ' within three plus days ahead of occupancy incurs price equal penalty.\nWhen booking made with credit card security gets cancelled ', ' over seventy two hours prior arrival, it causes charge to your card for one nights cost.\nPrepaid reservation secured by credit, cancelled ', ' beyond 3 day mark from stay time results in one night lodging fee fine.\nGuaranteed accommodation payment backed up with credit card, will incur penalty if cancelled ', ' more than three days before planned date of check-in.\nAccommodation made secure by credit guarantee payment voided ', ' within seventy two hours plus ahead of planned occupancy incurs nightly rate charge.']";8;12;['\nThe fee for revoking a locked-in appointment beyond a two-day timeframe ', '\nPenalties applicable when cancelling a firm reservation following a 72-hour deadline ', '\nCost incurred upon reneging on a scheduled commitment within seventy-two hours ', '\nWhat is the penalty for abandoning a confirmed booking after three days? \nCharges associated with terminating an assured reservation beyond a two-day time limit ', '\nFees connected to revoking a secured appointment after seventy-two hours ', '\nWhat are the consequences of breaking off from a locked-in agreement following a 72-hour notice period?']
11;"What is the cancellation policy for hotel reservations made during the hot season period? 
";"On the hot season period (01/07 -15/08) cancellation is not possible. In case of
reservation cancellation or no show, the hotel will not return pre-paid amount.
If a reservation is made via the online booking system, the cancellation shall be in
accordance with their booking cancellation conditions.";11;"[' \nIn the event of reservation cancellation or no show, the hotel reserves the right to retain pre-paid funds ', ' \nIf a guest cancels their reservation or fails to appear, the hotel will not refund any prepaid monies ', ' \nCancellation of bookings made during the hot season (01/07 - 15/08) is strictly forbidden ', ' \nIn instances where reservations are cancelled or guests do not show up, the hotel does not provide refunds for pre-paid amounts ', ' \nDuring our high-season period (01/07 - 15/08), no cancellations will be permitted ', "" \nThe hotel's policy dictates that in cases of reservation cancellation or no-shows, pre-paid funds will not be refunded "", '\nCancellation of reservations made during the summer months (01/07 - 15/08) is strictly not allowed ', ' \nFor reservations cancelled or left unfulfilled during peak season (01/07 - 15/08), refunds for prepaid amounts are not applicable ', '\nDuring our busy period (01/07 - 15/08), all cancellations are considered final and no refunds will be given ', '']";9;12;[' How do I cancel or modify a hotel booking made during summer months?\n', ' Can I change or get a refund on my hotel reservation if made during high season?\n', ' What happens to hotel reservations made during the busiest time of year if I need to cancel?\n', ' During peak tourist season, what are the rules for cancelling or changing a hotel booking?\n', ' If I make a hotel reservation during the hot summer months, can I still get a refund if I cancel?\n', ' Are there any penalties for cancelling hotel reservations made during the high season period?\n', ' Can I modify or cancel my hotel reservation if made during the peak travel season?\n', ' What is the policy on hotel cancellations for bookings made during the warmest time of year?\n', ' If I book a hotel room during the summer months and need to cancel, what are the possible consequences?']
12; What happens if a guest cancels their reservation or fails to show up during the hot season period?;"On the hot season period (01/07 -15/08) cancellation is not possible. In case of
reservation cancellation or no show, the hotel will not return pre-paid amount.
If a reservation is made via the online booking system, the cancellation shall be in
accordance with their booking cancellation conditions.";12;"[' \nIn the event of reservation cancellation or no show, the hotel reserves the right to retain pre-paid funds ', ' \nIf a guest cancels their reservation or fails to appear, the hotel will not refund any prepaid monies ', ' \nCancellation of bookings made during the hot season (01/07 - 15/08) is strictly forbidden ', ' \nIn instances where reservations are cancelled or guests do not show up, the hotel does not provide refunds for pre-paid amounts ', ' \nDuring our high-season period (01/07 - 15/08), no cancellations will be permitted ', "" \nThe hotel's policy dictates that in cases of reservation cancellation or no-shows, pre-paid funds will not be refunded "", '\nCancellation of reservations made during the summer months (01/07 - 15/08) is strictly not allowed ', ' \nFor reservations cancelled or left unfulfilled during peak season (01/07 - 15/08), refunds for prepaid amounts are not applicable ', '\nDuring our busy period (01/07 - 15/08), all cancellations are considered final and no refunds will be given ', '']";9;12;"['\nIn what manner does the inn respond when a customer abandons their booking or is absent from the facility during the prime traveling time ', ""\nIf a guest cancels their accommodation reservation or doesn't show up, how does this impact the hotel's management "", '\nWhat are the repercussions for an establishment if a visitor backs out of their reservation or fails to appear during the high season ', ""\nHow would you handle it if a customer cancelled their stay or didn't arrive as scheduled during the summer months "", ""\nWhat procedures should be in place when dealing with a guest who cancels their visit or doesn't show up at all during peak season "", '\nIf an individual fails to honour their reservation commitment, what actions can a business take during the main tourist period ', '\nHow does one respond if a customer suddenly calls off their stay without notice during the high demand time of year ', '\nWhat policy should be adopted by hotels in case guests fail to show up or cancel their bookings during peak season ', '\nIn the event that a visitor fails to turn up or cancels their reservation unexpectedly, how does this affect hotel operations and policies ', '']"
16;What is the minimum amount of cash deposit required by the hotel for guests who do not provide a credit card?;"To check-in the hotel, all guests must provide hotel administration a valid passport or
ID card and a valid guest credit card to guarantee potential additional services. If
guest does not agree to present a credit card, guest must submit a cash deposit in
amount of 200.00 EUR to guarantee potential additional services.";16;[' a valid guest credit card as collateral for any extra amenities ', ' if the visitor declines to present a credit card ', ' they must submit a cash deposit of 200.00 EUR to serve as security for any additional services.\n\nAll visitors checking in at the hotel are expected to produce a valid passport or ID card ', ' along with a legitimate guest credit card to ensure coverage for potential supplementary services ', ' if this is not feasible ', ' then a cash deposit of 200.00 EUR must be provided by the visitor to act as collateral for any extra amenities.\n\nTo check-in to the hotel, all guests are required to present a valid passport or ID card ', ' and provide a legitimate guest credit card to secure any additional services ', ' in the event that this is not possible ', ' then a cash deposit of 200.00 EUR must be given to the front desk as collateral for potential extra amenities.\n\nHotel guests must provide their identification, which may include a valid passport or ID card ', ' along with a legitimate guest credit card to cover potential supplementary expenses ', ' if the visitor declines to present a credit card ', ' they are expected to submit a cash deposit in the amount of 200.00 EUR.\n\nTo complete hotel registration, visitors are required to produce a valid passport or ID card ', ' and provide a legitimate guest credit card as collateral for any additional services ', ' should this not be feasible ', ' then a cash deposit must be made by the visitor in the amount of 200.00 EUR.\n\nGuests staying at the hotel must present their identification, including a valid passport or ID card ', ' along with a legitimate guest credit card to cover potential supplementary expenses ', ' if they do not have a credit card ', ' they can submit a cash deposit of 200.00 EUR as collateral for any additional services.\n\nThe hotel requires that all guests provide a valid passport or ID card ', ' and a legitimate guest credit card to secure coverage for potential supplementary expenses ', ' in the event that this is not feasible ', ' then a cash deposit must be made by the visitor in the amount of 200.00 EUR.\n\nVisitors checking into the hotel are expected to produce their identification, which may include a valid passport or ID card ', ' along with a legitimate guest credit card as collateral for any additional services ', ' if they decline to present a credit card ', ' then they must submit a cash deposit of 200.00 EUR to cover potential supplementary expenses.\n\nHotel guests must provide their identity, which includes a valid passport or ID card ', ' and a legitimate guest credit card to secure coverage for potential supplementary expenses ', ' should this not be feasible ', ' then a cash deposit of 200.00 EUR must be submitted by the visitor.\n\nTo register at the hotel, all visitors are required to produce their identification, including a valid passport or ID card ', ' along with a legitimate guest credit card as collateral for any additional services ', ' if they do not have a credit card ', ' they can submit a cash deposit of 200.00 EUR to cover potential supplementary expenses.'];13;12;"[""\nHow much money must be paid initially by people staying at hotels if they can't give their credit card "", '\nAt what minimum amount does a hotel require an initial cash payment from guests without a valid credit card ', ""\nWhat is the smallest cash down payment that hotels insist on for visitors who don't provide a working credit card "", '\nHow little money do hotels need to be paid up front by people not using a credit card ', ""\nFor customers who can't offer a functioning credit card, what's the bare minimum in cash needed at the beginning of their stay? "", '\nWhat is the absolute smallest sum of money that hotels want from guests without credit cards? ', ""\nHow little do hotels need to receive initially from visitors who don't have a usable credit card? "", '\nAt which point will hotels accept as little as possible in cash payment for those staying without using a working credit card? ', '']"
