,question,answer,question_index,answer_index,document_index
0,Who is personally liable for the booking and accommodation expenses?,"The person making the booking ('the Principal Customer'), whether in his/her personal capacity, for his/her
family or a group (whether traveling socially, for leisure or for business, tourism, or incentives) will be
personally liable for the booking and accommodation, cancellation, non-arrival and any expenses, loss or
damage incurred (whether personal, hotel or third-party property) during the booking period.",O,0,1
1,What type of expenses will you be deemed the contracting party for?,"
Without limiting the generality of the aforementioned, it applies to pay-to-view TV programmes or videos, as
well as telephone calls or any other expenses of a similar nature that is made from your room, you will be
deemed to be the contracting party.",O,1,1
2,What is the main responsibility of the Principal Customer according to the given text?,"
The Principal Customer warrants that he/she is duly authorized to make the booking and to accept all the
terms and conditions (the T's & C's) contained herein.",O,2,1
3,What is the maximum number of people allowed in the room according to the specified limitation?,"
Please take note of the limitation specified for the room you have booked.
If such number is exceeded, whether temporarily or over-night, we reserve the right to do one or more of
the following: cancel your booking; retain all the monies you've paid; request you to vacate your room(s)
forthwith, charge a higher rate for the room or recover all monies due.",O,3,1
4,Are visitors allowed to be in the same room as residents in this establishment?,"
Visitors are not allowed in the rooms and must be entertained in the lounges and/or other public areas
provided.",O,4,1
5,What is included in the price as advertised? ,"
It is your duty to confirm what is included/excluded in the price. The price is as advertised, but subject to
change until the required deposit has been paid and is reflected in our bank account. The deposit is non-refundable
regardless of the circumstances giving rise to cancellation, unless cancelled by us.",O,5,1
6, What are the circumstances that would allow for the deposit to be refunded?,"
It is your duty to confirm what is included/excluded in the price. The price is as advertised, but subject to
change until the required deposit has been paid and is reflected in our bank account. The deposit is non-refundable
regardless of the circumstances giving rise to cancellation, unless cancelled by us.",C,5,1
7,Can you pay with a cheque at this establishment?,"
We accept cash and most credit / debit cards.
We do not accept cheques.",O,6,1
8,What type of payment method is used as an alternative to a credit card imprint?,"
We reserve the right to take an imprint of and place a hold for the anticipated costs of your stay on your
credit card upon arrival, or in lieu of that, request a cash deposit.",O,7,1
9,What are the check-in and check-out times?,"
Please take note of our check-in & check-out times.",O,8,1
