,question,answer,question_index,answer_index,document_index
0,What is the main priority for Hotel Don Pancho during this difficult situation? ,"In recent months, we have been immersed in an unprecedented and very difficult
situation for everyone. At Hotel Don Pancho, we have always known what most
important is, the people, their well-being and their safety. For this reason, and now more
than ever, we believe that it is necessary to take care of yourself and be able to make
you feel calm because we are taking all possible actions to guarantee the maximum
security within our Hotel and, in turn, be able to continue offering you an unforgettable
and carefree holiday.",O,0,15
1,"
What actions is Hotel Don Pancho taking to guarantee maximum security within the hotel?","In recent months, we have been immersed in an unprecedented and very difficult
situation for everyone. At Hotel Don Pancho, we have always known what most
important is, the people, their well-being and their safety. For this reason, and now more
than ever, we believe that it is necessary to take care of yourself and be able to make
you feel calm because we are taking all possible actions to guarantee the maximum
security within our Hotel and, in turn, be able to continue offering you an unforgettable
and carefree holiday.",C,0,15
2,What is the purpose of the strict protocol created by Don Pancho?,"
From the Don Pancho we want to inform you that we are implementing all the actions,
instructions and recommendations of the World Health Organization (WHO), health
authorities and the Government. For this, we have created a very strict protocol that
includes all the actions carried out and in which we have further raised our standards of
safety, health, quality and hygiene.",O,1,15
3,What type of protection and care does the resort provide to its guests?," Our goal is that all our guests can enjoy a well-
deserved holiday with us, living the #DonPanchoExperience while being as protected
and cared for as if they were at home.",O,2,15
4,What are the consequences of not complying with the hotel's rules and recommendations?,"
We ask you to read this document carefully as it contains the Hotel's rules and
recommendations to minimise the hygiene and health risks caused by the COVID-
19 virus, without prejudice to current legislation, and which must be complied with
during your stay at our facilities. By accessing our facilities, you expressly agree to
comply with them.",O,3,15
5,What is the consequence if a guest breaches one of the hotel's rules?,"
We inform you that the Hotel may terminate the contract, if there is a breach of
any of these rules by the guest.",O,4,15
6,What specific measures has Don Pancho implemented to protect its employees?,"
Our main concern is to ensure that you enjoy the Don Pancho Experience in a safe way,
and for this we have established necessary protection measures, both for you and yours
and for the employees of the Hotel.",O,5,15
7,What government agency is responsible for setting guidelines for the hotel's actions?,"
We want to inform you that the rules and actions have been implemented by following
the guidelines set by the Ministry of Health of the Government of Spain, as well as the
ICTE (Spanish Tourist Quality Institute) in order to offer you best practices in service,
facilities and with staff to deal with the virus. ",O,6,15
8,What is the purpose of the face screens provided in the text?," Human and material resources have been
assigned (Individual Prevention Equipment, masks, gloves, hydroalcoholic gel, face
screens), as well as action protocols in the event that any employee or client shows any
symptoms compatible with COVID-19.",O,7,15
9,What are the specific sanitary criteria established by the relevant authorities for staff health control?,"
In addition, our staff undergoes daily temperature and health control according to the
sanitary criteria established by the relevant authorities",O,8,15
