,question,answer,question_index,answer_index,document_index
0,What does the Operating Company's seat location indicate?,"When the Customer enters into a contract with Mövenpick Hotels Deutschland GmbH (seat: Frankfurt am Main, Amtsgericht Frankfurt
am Main HRB108250, Germany) (Operating Company) for the rent of hotel rooms in one of the hotels operated by the Operating Company
in Germany, as well as other services rendered and goods delivered to the Customer in this context (Hotel Accommodation
Contract/Contract) these General Terms and Conditions become an integral part of the Contract.",O,0,2
1,"What does ""expressly agreed"" refer to in this context?","
The Customer’s general terms and conditions apply only if this is previously expressly agreed.",O,1,2
2,What is the name of the operating company mentioned in the contract? ,"
The contracting parties are Mövenpick Hotels Deutschland GmbH (Operating Company) and the Customer. The performance of the
Operating Company within the scope of the Contract is carried out by the particular hotel branch of the Operating Company (Hotel).
The Contract shall come into force upon the Hotel’s acceptance of the Customer’s offer.",O,2,2
3, Who is responsible for carrying out the performance of the Operating Company within the contract?,"
The contracting parties are Mövenpick Hotels Deutschland GmbH (Operating Company) and the Customer. The performance of the
Operating Company within the scope of the Contract is carried out by the particular hotel branch of the Operating Company (Hotel).
The Contract shall come into force upon the Hotel’s acceptance of the Customer’s offer.",C,2,2
4,"What are the unforeseen reasons that might prevent the Hotel from keeping available the rooms reserved by the Customer? 
What services is the Hotel obliged to render to the Customer? 
What happens if no room in the reserved category is available upon arrival at the Hotel? 
Does the Hotel assume liability for the services of the other hotel operator in case accommodation is organized in another hotel? 
What is provided to the guest by the Hotel in case accommodation is organized in another hotel?","
The Hotel is obliged to keep available the rooms reserved by the Customer and to render the agreed services. Should for unforeseen
reasons no room in the reserved category be available upon arrival, the Hotel will provide a room in the next higher category. Should no
room be available in the Hotel, the Hotel can organize accommodation in another, at least equivalent hotel. The Hotel does not assume
liability for the services of the other hotel operator. The Hotel provides transport to and from the other hotel with luggage as well as a three
minute international phone call, for the purpose of informing about the new address. Furthermore, the Hotel provides a voucher for an
equivalent hotel room valid for the guest’s next stay in the Hotel.",O,3,2
5,What are the services that the Hotel disburses for third parties that the Customer orders directly or via the Hotel?,"
The Customer is obliged to pay to the Hotel the agreed or applicable prices for the room rental and other services provided. This also
applies to services ordered directly by the Customer or via the Hotel, which a third party provides and the Hotel disburses.",O,4,2
6,Does the extraordinary termination right apply to consumers in this situation?,"
The Hotel’s prior written consent is required if the Customer wishes to sublet the provided rooms or use them for other than lodging
purposes. Insofar as the Customer is not a consumer, the extraordinary termination right in case of lacking consent of the Hotel, Section
540, paragraph 1, sentence 2 German Civil Code (BGB), is waived.",O,5,2
7,What are the conditions under which a customer can request a specific room?,"
The Customer does not have the right to be provided specific rooms, unless this is expressly agreed.",O,6,2
8,What is the earliest time that a customer can check into a reserved room?,"
Reserved rooms are available to the Customer from 3:00 p.m. on the agreed arrival date. The Customer cannot claim an earlier
handover.",O,7,2
9,"What are the consequences if a customer fails to vacate their room by the agreed departure time? 
","
Rooms must be vacated and made available to the Hotel no later than 12:00 noon on the agreed departure date. Should the Customer
not adhere to this provision, the Hotel may charge 50% of the full accommodation rate (list price) for the delayed vacation of the room until
6:00 p.m., and 90% after 6:00 p.m. The Customer does not obtain any contractual claims hereby. The Customer is at liberty to prove that
the Hotel’s claim based on the use of the room does not exist or is much lower.",O,8,2
