,question,answer,question_index,answer_index,document_index
0,"What services and deliveries, in addition to hotel accommodation, are covered by the General Terms and Conditions of the Munich Marriott Hotel?","The following General Terms and Conditions apply to rental contracts for hotel accommodation as well as to further services and deliveries provided by the Munich
Marriott Hotel (herein after referred to as the “Hotel”) for the client.",O,0,16
1,What are the conditions that require the hotel's written consent?,"
Subletting and re-letting of the rooms as well as the use for any other purpose than accommodation requires the consent of the hotel in writing.
Contrary Conditions of the client shall only apply prior to written agreement.",O,1,16
2,What are the conditions for the contract to become effective? ,"
General Terms & Conditions apply as follows:
Conclusion of the Contract, Contracting Parties, Contract Liabilities
The contract becomes effective with the hotel’s acceptance. The hotel is free to confirm the booking of rooms in written form.
Contracting parties are the hotel and the client. If a third party orders on account of the client the third party is jointly and severally liable with the client for all
contract obligations provided the hotel has an appropriate statement of the third party.",O,2,16
3," 
Who are the contracting parties in this contract? ","
General Terms & Conditions apply as follows:
Conclusion of the Contract, Contracting Parties, Contract Liabilities
The contract becomes effective with the hotel’s acceptance. The hotel is free to confirm the booking of rooms in written form.
Contracting parties are the hotel and the client. If a third party orders on account of the client the third party is jointly and severally liable with the client for all
contract obligations provided the hotel has an appropriate statement of the third party.",C,2,16
4," 
What is the liability of a third party who orders on behalf of the client?","
General Terms & Conditions apply as follows:
Conclusion of the Contract, Contracting Parties, Contract Liabilities
The contract becomes effective with the hotel’s acceptance. The hotel is free to confirm the booking of rooms in written form.
Contracting parties are the hotel and the client. If a third party orders on account of the client the third party is jointly and severally liable with the client for all
contract obligations provided the hotel has an appropriate statement of the third party.",C,2,16
5,"What is the time frame for claims against the hotel to become statute-barred in Germany? 
","
In principle, all claims against the hotel become statute-barred within one year from the beginning of the regular statutory limitation regardless knowledge
according to § 199 paragraph 1 of the German Civil Code BGB (Bürgerliches Gesetzbuch). Claims for damage become statute-barred in five years regardless
knowledge. Reduction of limitation shall not apply to claims based on deliberate or gross breach of duty through the hotel.",O,3,16
6, What is the exception to the reduction of limitation period according to the text?,"
In principle, all claims against the hotel become statute-barred within one year from the beginning of the regular statutory limitation regardless knowledge
according to § 199 paragraph 1 of the German Civil Code BGB (Bürgerliches Gesetzbuch). Claims for damage become statute-barred in five years regardless
knowledge. Reduction of limitation shall not apply to claims based on deliberate or gross breach of duty through the hotel.",C,3,16
7,What are the main responsibilities of the hotel towards its clients?,"
The hotel is obliged to have the rooms ready for the client and to provide the service as contracted.",O,4,16
8,"What are the services that the client is responsible for paying for, according to the hotel's policy?","
In order to use the room and additional services the client is obliged to pay the valid price respectively the price as contracted. This also applies to services and
expenses of the hotel towards third arranged by the client.",O,5,16
9,What are the conditions under which the hotel can increase the contracted price of hotel services? ,"
The prices contracted include the legal value added tax. Provided, the time period between conclusion and performance of the contract exceeds four months
and the generally calculated price for hotel services increase, the hotel has the right to increase the contracted price adequately, however by 5% at the most.
The hotel reserves the right to adjust prices in case the client requires later amendments regarding the contracted number of rooms, hotel services or length of
stay and the hotel agrees to it.",O,6,16
10, What is the maximum percentage by which the hotel can increase the contracted price?,"
The prices contracted include the legal value added tax. Provided, the time period between conclusion and performance of the contract exceeds four months
and the generally calculated price for hotel services increase, the hotel has the right to increase the contracted price adequately, however by 5% at the most.
The hotel reserves the right to adjust prices in case the client requires later amendments regarding the contracted number of rooms, hotel services or length of
stay and the hotel agrees to it.",C,6,16
11,What is the maximum time allowed for payment of an invoice without settlement date? ,"
Invoices of the hotel without settlement date are payable with no discount within ten (10) days of the invoice date if not contracted differently. In case of delay of
payment the hotel has the right to charge penal interest according to § 288 of the German Civil Code BGB (Bürgerliches Gesetzbuch). The hotel reserves the
right to proof greater damage.",O,7,16
12, What type of interest can the hotel charge in case of delayed payment?,"
Invoices of the hotel without settlement date are payable with no discount within ten (10) days of the invoice date if not contracted differently. In case of delay of
payment the hotel has the right to charge penal interest according to § 288 of the German Civil Code BGB (Bürgerliches Gesetzbuch). The hotel reserves the
right to proof greater damage.",C,7,16
13,"What does the hotel consider ""all-inclusive traveling""?","
The hotel reserves the right to charge an appropriate advance payment or bail upon conclusion of the contract or later with regard to legal terms of all-inclusive
traveling. The amount of the advance payment and payment date must be contracted in writing.",O,8,16
14,"What is considered an ""indisputable or legally valid claim"" in the context of offsetting or reducing a hotel claim?","
The client is only entitled to offset or reduce a hotel claim subject to an indisputable or legally valid claim.",O,9,16
15,What are the conditions under which a client can cancel a contract with a hotel? ,"
The client has the right to cancel the contract only prior to written consent of the hotel. In case this written consent is not available, the contracted price is to be
paid even if the client does not use all contracted services. This does not apply in case of violation of the hotel’s obligation to consider the rights, legal objects
and interests of the client if it is no longer reasonable for the client to adhere to the contract or if the client has any other legal or contractual right for
cancellation.",O,10,16
16," 
What happens if the client decides not to use all the contracted services, but has not obtained written consent to cancel the contract?","
The client has the right to cancel the contract only prior to written consent of the hotel. In case this written consent is not available, the contracted price is to be
paid even if the client does not use all contracted services. This does not apply in case of violation of the hotel’s obligation to consider the rights, legal objects
and interests of the client if it is no longer reasonable for the client to adhere to the contract or if the client has any other legal or contractual right for
cancellation.",C,10,16
17,"What are the two conditions under which a client can cancel the contract without penalty? 
","
If a cancellation date was contracted between the hotel and the client in written form, the client has the right to cancel the contract until that date without causing
demands for payment or claim for damages from the hotel. The client’s right of cancellation expires, if he does not exercise this right in writing towards the hotel
until the agreed date, provided the cancellation is not according to above lit. a).",O,11,16
18, What happens if the client fails to exercise their right of cancellation before the agreed date?,"
If a cancellation date was contracted between the hotel and the client in written form, the client has the right to cancel the contract until that date without causing
demands for payment or claim for damages from the hotel. The client’s right of cancellation expires, if he does not exercise this right in writing towards the hotel
until the agreed date, provided the cancellation is not according to above lit. a).",C,11,16
