,question,answer,question_index,answer_index,document_index
0,What is the main purpose of The Social Hub? ,"Welcome to The Social Hub! We hope you enjoy your stay with us and also here in this beautiful city. We
aim to provide a first-class service to all guests at The Social Hub so you can relax and focus on your studies
or simply enjoy your stay. If you have any questions please do not hesitate to contact any of our staff – we
are pleased to help you.",O,0,19
1,"
Who are the staff available to assist guests? ","Welcome to The Social Hub! We hope you enjoy your stay with us and also here in this beautiful city. We
aim to provide a first-class service to all guests at The Social Hub so you can relax and focus on your studies
or simply enjoy your stay. If you have any questions please do not hesitate to contact any of our staff – we
are pleased to help you.",C,0,19
2,"
What is one of the activities that guests can focus on at The Social Hub?","Welcome to The Social Hub! We hope you enjoy your stay with us and also here in this beautiful city. We
aim to provide a first-class service to all guests at The Social Hub so you can relax and focus on your studies
or simply enjoy your stay. If you have any questions please do not hesitate to contact any of our staff – we
are pleased to help you.",C,0,19
3,What is the main purpose of informing the staff about problems with The Social Hub's facilities?,"
If you have a problem with or a question about any of the facilities of The Social Hub please inform us as
soon as possible so we can resolve the issue as fast as possible.",O,1,19
4,What is the main policy of the hotel? ,"
We are all here to study or work hard and also to have a good time. Our policy is simple; respect the hotel
and everyone in it. We are not here to control you and spoil the fun but we do expect that you respect the
hotel, our staff and other guests. In order to avoid any misunderstanding on what “respect” implies, please
find below our house rules for the hotel. For people who continue to disrespect our hotel, staff and other
guests, we will take the measures pointed out below.",O,2,19
5," 
What will happen to guests who continue to disrespect the hotel and its staff? ","
We are all here to study or work hard and also to have a good time. Our policy is simple; respect the hotel
and everyone in it. We are not here to control you and spoil the fun but we do expect that you respect the
hotel, our staff and other guests. In order to avoid any misunderstanding on what “respect” implies, please
find below our house rules for the hotel. For people who continue to disrespect our hotel, staff and other
guests, we will take the measures pointed out below.",C,2,19
6," 
Why does the hotel want to avoid any misunderstanding about their house rules? ","
We are all here to study or work hard and also to have a good time. Our policy is simple; respect the hotel
and everyone in it. We are not here to control you and spoil the fun but we do expect that you respect the
hotel, our staff and other guests. In order to avoid any misunderstanding on what “respect” implies, please
find below our house rules for the hotel. For people who continue to disrespect our hotel, staff and other
guests, we will take the measures pointed out below.",C,2,19
7," 
What is the hotel's intention with their house rules? ","
We are all here to study or work hard and also to have a good time. Our policy is simple; respect the hotel
and everyone in it. We are not here to control you and spoil the fun but we do expect that you respect the
hotel, our staff and other guests. In order to avoid any misunderstanding on what “respect” implies, please
find below our house rules for the hotel. For people who continue to disrespect our hotel, staff and other
guests, we will take the measures pointed out below.",C,2,19
8,,"
We are all here to study or work hard and also to have a good time. Our policy is simple; respect the hotel
and everyone in it. We are not here to control you and spoil the fun but we do expect that you respect the
hotel, our staff and other guests. In order to avoid any misunderstanding on what “respect” implies, please
find below our house rules for the hotel. For people who continue to disrespect our hotel, staff and other
guests, we will take the measures pointed out below.",C,2,19
9,Will the welcome desk be able to answer all questions immediately?,"
The welcome desk is available 24/7. We will help you to answer all your questions but please take into
account that other matters might have priority.",O,3,19
