;question;answer;question_index;answer_reformulate;answer_index;document_index;question_reformulate
0;Is the reception staff available only during the day?;"The reception is available 24/7. The reception staff will
be available to accept any request and/or complaint
made by the Facility's Guests.";0;[' Staff at the front desk are on hand to take care of any needs or concerns ', ' The Guest Services team is always ready to respond to inquiries or grievances ', ' Day-and-night, our reception staff will be happy to assist with any request or issue ', ' 24/7, the reception area is manned by personnel prepared to address any complaint or need ', ' Anytime, night or day, a member of the reception team can be counted on to help with problems ', ' The Guest Services department operates continuously to answer questions and resolve issues ', ' Our front desk staff are available at all hours to take care of any concerns or needs ', ' Around-the-clock, our receptionists will handle any requests or complaints made by guests ', ' 24 hour assistance is provided by the reception team for all guest related matters ', ''];0;11;"[' \nAre there specific operating times for the hotel lobby crew? ', ' \nDoes the personnel at the check-in area work on a 9-to-5 schedule? ', ' \nCan one expect the customer service staff to be present during regular daytime hours? ', ' \nIs the office staff available only between sunup and sundown? ', ' \nWill the evening crowd find the front desk fully manned during their visit? ', ' \nAre there designated working times for the folks at the reception counter? ', "" \nDoes the night shift crowd get to see the face of the hotel's customer service team? "", ' \nIs it a fact that the hotel staff, stationed at the reception, only work from dawn till dusk? ', ' \nDo the hotel employees on duty at the front desk strictly adhere to daytime working hours?']"
1;What type of ID document is required for guests to present at the Facility?;"Guests and any accompanying persons and/or visitors
must, when they arrive at the Facility, present an ID
document to facilitate their identification pursuant to
Article 109 of the Consolidated Public Safety Law
(TULPS) and for any other formality (administrative or
otherwise) required for law enforcement purposes.";1;"[' Guests and their entourages ', ' Attendees and supporting parties ', ' People and their associates ', ' Individuals and their retinue ', ' Persons accompanying guests ', ' Visitors and those with them ', ' Parties and their attendants ', ' Guests in tow ', ' Those arriving with someone else ', "" Companions and the people they're with""]";1;11;[' Can guests be asked to display a specific ID at the entrance of the building?\n\n', ' What ID verification process should be implemented for attendees?\n\n', ' Is it mandatory for guests to provide proof of identity upon arrival?\n\n', ' What kind of government-issued document do visitors need to carry with them?\n\n', ' Do individuals attending events need to present identification to access the area?\n\n', ' Can staff at the facility request identification from visitors for security purposes?\n\n', ' How should we verify the identity of people entering the premises?\n\n', ' Is it necessary for guests to show a particular type of ID to enter the facility?\n\n', ' What identification documents are required for individuals to gain access to the building?']
2;What type of people are required to notify the Facility's reception staff in advance?;"Subject to the foregoing, the Facility's reception staff
should be notified in advance of visits by persons who
have not signed any Contract, and such visits must be
approved in advance by them. In such cases, 21WOL
Operations reserves the right to charge the Contracting
Party any further costs for the use of services by any
visitors and/or companions, which are reserved for
the Facility’s Guests.";2;"[' \nBefore uncontracted visitors arrive, reception staff must grant their approval ', ' \nThose who have not signed a contract must get prior approval from facility staff ', ' \nAny non-contracted guests need to obtain permission from reception staff before arrival ', ' \nIn cases where uncontracted guests visit, the facility may charge extra fees ', ' \nThe contracting party could be billed for any costs associated with visitor services ', "" \nVisitors who haven't signed a contract will need prior approval from the facility "", ' \nTo prevent unauthorized access, advance approval is required for non-contracted visitors ', ' \nIn cases of non-contracted guests visiting, additional charges may apply ', ' \nBefore uncontracted individuals visit, reception staff must first grant their permission ', ' \nThe facility reserves the right to charge extra fees for services used by non-contracted visitors ', '']";2;11;[' Those needing particular accommodations should advise the Reception Team ', ' The Facility needs to be notified by specific attendees ahead of time ', ' Certain individuals require advance notification to the Reception desk ', ' To ensure proper arrangements, some visitors must notify the Front Counter staff ', ' Advance notice from specified guests is necessary for smooth access ', ' Specific people need to inform the Check-in Staff about their requirements beforehand ', ' The Reception team requests prior notification from select attendees ', ' Advance notification by particular visitors is mandatory for a seamless experience ', ' Guests with special needs should advise the Reception Staff of their requirements in advance']
3;What is the penalty for allowing unauthorised visitors in the Facility?;"The presence of unauthorised visitors pursuant to
Article 3.2 above will require the Contracting party to
pay a penalty of Euro 100 (one hundred), without
prejudice to 21WOL Operations's entitlement to report
the presence of unauthorised persons inside the
Facility to the competent authorities.";3;['150, payable immediately, \nwithout affecting our right to inform the relevant authorities ', '\nAn unauthorized presence on site will incur a €100 fine ', '\nAny non-authorized personnel found within the facility \nwill result in a monetary penalty of $120 ', '\nThe appearance of uninvited guests will attract a \n€100 fine, which must be paid promptly ', '\nUnauthorised entry onto our property carries a \n€100 penalty fee, payable on discovery ', '\nGuests not cleared by management will face a €100 \npenalty charge and potential reporting to authorities ', '\nAny person not permitted on site will incur a \n€100 fine, in addition to possible prosecution ', '\nTrespassers will be liable for a €100 fine, \nwith potential further action taken against them ', '\nUnauthorized visitors will be subject to a €100 \npenalty fee, which may also lead to official reporting ', ''];3;11;"[' The punishment for tolerating unapproved personnel within the Facility.\n\n', ' Consequences of permitting unwanted persons to access the site.\n\n', ' What repercussions occur when unidentified people gain entry to the installation?\n\n', ' What is the disciplinary action taken against those who allow unauthorized access to the facility?\n\n', ' The sanctions imposed upon management for allowing trespassers in the building.\n\n', "" Fines and penalties incurred by employees who permit unauthorised personnel within the facility's walls.\n\n"", ' What actions are taken when staff fail to prevent unauthorised visitors from entering the Facility?\n\n', ' How does the organisation respond to instances of unapproved individuals gaining access to the property?\n\n', ' What repercussions will management face for failing to enforce access controls and allow unauthorised persons into the area?']"
4;What are the main reasons for a guest to comply with the rules of conduct?;"
So as not to disturb other Guests and to avoid
complaints from the latter and/or from third parties,
Guests shall comply with the rules of conduct of the
Internal Regulations.";4;[' to behavioral guidelines outlined in our Internal Code ', ' of Conduct ', ' to avert grievances ', ' Guests are expected to abide ', ' by the standards of behavior stipulated ', ' in the Guest Policy ', ' Guests shall conform ', ' to the rules of decorum ', ' specified ', ' in the Guest Guidelines ', ' Visitors must respect ', ' other patrons and comply ', ' with the regulations ', ' stated ', ' within the Guest Rules ', ' In order to avoid disturbing ', ' others, visitors are obligated ', ' to observe ', ' the guidelines ', ' as outlined ', ' in the Visitor Code ', ''];4;11;"[' In what respects do visitors generally conform to the norms set forth for their stay?\n\n', ' Can you identify the primary motivators prompting guests to respect the house rules?\n\n', ' What key factors encourage people to follow the regulations during their visit?\n\n', ' Why do most attendees tend to comply with the specified expectations?\n\n', "" How do societal norms influence a guest's willingness to abide by the established code of conduct?\n\n"", ' What common sense guidelines would likely be heeded by someone staying at a shared accommodation?\n\n', ' In what principal ways do visitors generally conform to the regulations set forth for their stay?\n\n', ' For what essential reasons do people usually respect the rules during their visit to a communal space?\n\n', ' What main influences cause a guest to adhere to the established norms of conduct?']"
5;What are the specific times during which noise is strictly forbidden?;"It is strictly forbidden inside the rooms, in the common
areas or in places adjacent to the Facility, to act or
behave in a way that could disturb the peaceful
enjoyment of other Guests and/or disturb the public
peace (i.e. loud music, parties, shouting, etc.) between
11.00 pm and 8.00 am.";5;"[' inside the private spaces ', ' to cause or engage in behaviour ', ' that disrupts the tranquility ', ' of fellow visitors ', ' and/or jeopardizes public order ', ' (i.e., loud music, gatherings ', ', shouting ', ', etc.) between 11 PM ', ' and 8 AM.\n\nNo loud noises ', ' are permitted ', ' within the designated areas ', ' after 11 pm ', ' until 8 am ', ' to prevent disturbance ', ' of other guests ', ' and maintain a peaceful environment ', '.\n\nThe management strictly prohibits ', ' any behaviour ', ' that disrupts ', ' the comfort ', ' of other visitors ', ' between 11.00 PM ', ' and 8.00 AM ', ', including loud music ', ', parties ', ', shouting ', ', etc.\n\nA strict silence policy ', ' is in place ', ' from 11 pm ', ' to 8 am ', ', prohibiting ', ' any behaviour ', ' that could disrupt ', ' the peaceful enjoyment ', ' of other guests ', ' and/or disturb public order ', ' (i.e., loud noises ', ', gatherings ', ', shouting ', ', etc.).\n\nAny behaviour ', ' causing disturbance ', ' or disrupting ', ' the tranquility ', ' of fellow visitors ', ' between 11 PM ', ' and 8 AM ', ' is strictly prohibited ', '.\n\nThe facility enforces ', ' a quiet hours policy ', ' from 11 pm ', ' to 8 am ', ', requiring ', ' all guests ', ' to refrain ', ' from engaging in loud music ', ', parties ', ', shouting ', ', etc., to maintain public peace ', '.\n\nIt is strictly forbidden ', ' for any guest ', ' to engage ', ' in behaviour ', ' that causes disturbance ', ' or disrupts ', ' the peaceful enjoyment ', ' of other visitors ', ' between 11.00 PM ', ' and 8.00 AM ', '.\n\nGuests are required ', ' to respect ', ' their fellow visitors ', ""' tranquility "", ' by refraining ', ' from loud noises ', ', parties ', ', shouting ', ', etc., between 11 pm ', ' and 8 am ', '.\n\nBetween 11 PM ', ' and 8 AM ', ', it is strictly prohibited ', ' for guests ', ' to engage ', ' in behaviour ', ' that could disturb ', ' the peaceful enjoyment ', ' of other visitors ', ' or jeopardize public order ', ' (i.e., loud music ', ', gatherings ', ', shouting ', ', etc.).']";5;11;"['\' without writing anything more and without any introduction? What are the specific times during which noise is strictly forbidden?""\n\nHere are the reformulations:\n\nSpecific hours when silence is mandatory ', ' Can you rephrase this inquiry in multiple formats ', ' Changing the vocabulary of the initial query ', ' Reformulating the original statement ', ' Translating the question into various linguistic styles ', ' Altering the phrasing without adding new content ', ' Modifying the lexicon without expanding on existing information ', ' Reexpressing the query using different terminology ', ' Transforming the text into alternative expressions ', ' Redefining the inquiry through varied semantic choices']"
6;What is the purpose of the rules for guests at the facility? ;"Subject to the above, Guests are in any case obliged for
the entire duration of their stay to conduct themselves
in a way that facilitates the peaceable and quiet
enjoyment of other Guests and of the neighbourhood.
Guests are obliged not to leave rubbish or to leave
property and/or personal belongings unattended
inside the common areas or in places adjacent to the
Facility. Save as envisaged below in the General Terms
and Conditions, 21WOL Operations reserves the right
to charge the Contracting Party and/or Guests for the
costs, if any, of cleaning or removing any property
and/or personal belongings left unattended.";6;[' the peace and quietude of fellow visitors and the local community \n', ' throughout their stay.\nThe behaviour of Guests is subject to certain expectations \n', ' namely, they must not leave waste or abandon possessions \n', ' whether personal effects or property, within communal areas \n', ' or adjacent spaces. \nGuests have an obligation to act in a manner that does not disturb \n', ' other visitors and the surrounding neighbourhood \n', ' during their entire stay.\nAny unattended items or trash left behind by Guests \n', ' will incur additional costs for removal or cleaning \n', ' unless otherwise specified in the General Terms and Conditions.\nThe peaceful enjoyment of other visitors and the local community \n', ' are paramount, and Guests must comply with this expectation \n', ' at all times during their stay.\nGuests must refrain from littering or abandoning personal belongings \n', ' within communal spaces or adjacent areas of the facility \n', ' lest they be charged for cleaning or removal services.\nThe responsible conduct expected of Guests \n', ' extends to avoiding any actions that might disturb \n', ' fellow visitors and the surrounding neighbourhood \n', ' throughout the duration of their stay.\nAny unattended property or trash left behind by Guests \n', ' will necessitate additional costs for its removal \n', ' unless otherwise stated in the General Terms and Conditions.\nGuests must comply with certain standards of behaviour \n', ' namely, avoiding actions that might disturb fellow visitors \n', ' and the surrounding neighbourhood during their entire stay.'];6;11;"[' \nWhy are there regulations in place for patrons at the establishment ', "" \nWhat's the reason for having a set of standards for those using the facility "", ' \nFor what reason are there policies governing visitors to the venue ', "" \nWhat's the purpose of establishing rules for individuals utilising the space "", "" \nWhat's behind the necessity for guidelines for users of the amenities "", ' \nWhy have the authorities put in place regulations for patrons at this particular location ', ' \nWhat is the rationale behind creating a set of protocols for clients at the facility ', ' \nHow do the rules for visitors contribute to the overall experience at the centre ', ' \nIn what way do the policies for guests enhance the overall service provided at the establishment ', '']"
7;"
What will happen if a guest leaves their belongings unattended at the facility?";"Subject to the above, Guests are in any case obliged for
the entire duration of their stay to conduct themselves
in a way that facilitates the peaceable and quiet
enjoyment of other Guests and of the neighbourhood.
Guests are obliged not to leave rubbish or to leave
property and/or personal belongings unattended
inside the common areas or in places adjacent to the
Facility. Save as envisaged below in the General Terms
and Conditions, 21WOL Operations reserves the right
to charge the Contracting Party and/or Guests for the
costs, if any, of cleaning or removing any property
and/or personal belongings left unattended.";7;[' the peace and quietude of fellow visitors and the local community \n', ' throughout their stay.\nThe behaviour of Guests is subject to certain expectations \n', ' namely, they must not leave waste or abandon possessions \n', ' whether personal effects or property, within communal areas \n', ' or adjacent spaces. \nGuests have an obligation to act in a manner that does not disturb \n', ' other visitors and the surrounding neighbourhood \n', ' during their entire stay.\nAny unattended items or trash left behind by Guests \n', ' will incur additional costs for removal or cleaning \n', ' unless otherwise specified in the General Terms and Conditions.\nThe peaceful enjoyment of other visitors and the local community \n', ' are paramount, and Guests must comply with this expectation \n', ' at all times during their stay.\nGuests must refrain from littering or abandoning personal belongings \n', ' within communal spaces or adjacent areas of the facility \n', ' lest they be charged for cleaning or removal services.\nThe responsible conduct expected of Guests \n', ' extends to avoiding any actions that might disturb \n', ' fellow visitors and the surrounding neighbourhood \n', ' throughout the duration of their stay.\nAny unattended property or trash left behind by Guests \n', ' will necessitate additional costs for its removal \n', ' unless otherwise stated in the General Terms and Conditions.\nGuests must comply with certain standards of behaviour \n', ' namely, avoiding actions that might disturb fellow visitors \n', ' and the surrounding neighbourhood during their entire stay.'];6;11;[' What are the repercussions for leaving possessions unattended in public areas ', ' If someone fails to retrieve their personal belongings, what steps might be taken ', ' What actions will be triggered when a guest leaves items unchecked at the facility ', ' Can guests expect repercussions for neglecting to collect their own personal effects ', ' Will there be consequences if guests fail to secure their belongings on premises ', ' How do unattended belongings impact the overall experience of visitors ', ' What protocols are in place for handling abandoned personal items ', ' Is there a specified process for dealing with guest property left behind at the facility ', ' What will happen if an individual leaves their personal property unsecured and unchecked ', '']
8;What action will 21WOL Operations take if the Guest ignores the second formal invitation to desist?;"If complaints are made to 21WOL Operations staff by
other Guests or third parties following the
infringement of the provisions of this Article, 21WOL
Operations reserves the right, at its sole discretion, to
take one of the following steps in relation to the
infringing Guest:
21WOL Operations may send the Guest and/or
the Contracting Party an initial formal invitation
to desist;
if the first formal invitation is ignored, 21WOL
Operations may send the Guest and/or the
Contracting Party a second formal invitation to
desist;
if the second formal invitation is also ignored,
21WOL Operations reserves the right to
terminate the Contract pursuant to Article 1456 of
the Italian Civil Code;
21WOL Operations reserves the right to
terminate the Contract in any case, pursuant to
Article 1456 of the Italian Civil Code, if in view of
the Guest's conduct it considers (at its sole
discretion) that the contractual relationship
cannot continue.";8;"[' \nIf grievances are made against another guest ', ' \nIf reports are submitted to 21WOL staff by third parties ', ' \nWhen claims are brought forward by Guests or other stakeholders ', ' \nUpon receiving formal complaints from other guests ', ' \nFollowing the submission of written grievances ', ' \nAfter lodging a formal complaint with our team ', ' \nOn receipt of a written objection from another guest ', ' \nIf a Guest is accused by others of breaching terms ', "" \nWhen allegations are made against a visitor's conduct "", '']";7;11;"[' In the event that the Guest disregards the second polite request to cease, what course of action will be taken by 21WOL Operations?\n\n', ' What response can guests expect from 21WOL Operations if they ignore the formal invitation to desist issued for the second time?\n\n', ' If the Guest declines to take heed of the second formal warning, what steps will be taken by 21WOL Operations?\n\n', "" Following a guest's failure to comply with the second polite request to cease, what action will be initiated by 21WOL Operations?\n\n"", ' What happens if the Guest ignores the second formal notice to desist and stops all activity?\n\n', ' In the event that the Guest refuses to adhere to the second official warning, what measures will be implemented by 21WOL Operations?\n\n', ' If a guest disregards the second polite request to cease, what action will be taken by 21WOL Operations?\n\n', ' What protocol will be followed by 21WOL Operations if a guest fails to heed their second formal invitation to desist?\n\n', "" Following a guest's failure to comply with the second formal warning, what steps will be initiated by 21WOL Operations?""]"
9;What are the provisions of Article 12 of the General Terms and Conditions?;"The provisions of Article 12 of the General Terms and
Conditions shall in any case be applicable (“Contract
Termination by 21WOL Operations”).";9;"[' Contract Cancellation Clause article XII ', "" Article Twelve's stipulations will continue to apply "", ' Provisions under Article 12 remain binding ', ' The terms of Section 12 of the General Terms and Conditions ', ' The applicability of Article 12 of our contract ', ' Terms XII will continue to govern our agreement ', ' Article 12 remains a governing principle ', ' The contract termination clause of article 12 ', ' The stipulations of Article Twelve shall persist']";8;11;['\nIn what particular respects does Article 12 mandate or permit in relation to the General Terms and Conditions ', '\nArticle 12 - What are its key obligations as stated in the General Terms and Conditions ', '\nWithin the scope of the General Terms and Conditions, what provisions govern under Article 12 ', '\nWhat rules or guidelines are established by Article 12 within the broader context of the General Terms and Conditions ', '\nHow does Article 12 specifically relate to the terms outlined in the General Terms and Conditions ', '\nAre there any particular expectations or requirements set forth by Article 12 as part of the General Terms and Conditions ', '\nIn what ways do the stipulations of Article 12 apply generally within the framework of the General Terms and Conditions ', '\nCan you detail the individual clauses contained within Article 12 of the General Terms and Conditions ', '\nWithin the parameters established by the General Terms and Conditions, what specific provisions does Article 12 cover ', '']
